date	CONT1210_23304	CONT1211_21438	CONT1221_20926	CONT1311_20929	CONT1321_20927	CONT1411_17203	CONT1412_20975	CONT1412C_20957	CONT1412C_20962	CONT1412C_20963	CONT1412C_20964	CONT1413_20931	CONT1413_20932	CONT1413_20933	CONT1413_25449	CONT1413_27828	CONT1441_23914	CONT1461_23338	CONT2121_27825	CONT2121_27826	CONT2121_27827	CONT2212_27821	CONT2322_23915	CONT2413_23916	CONT2421_20930	CONT2462_23917
1707261315	0	53	21	63	60	36	85	29	8	25	23	0	0	0	46	0	55	30	0	0	0	16	39	30	52	27
1707261354	0	53	21	63	60	36	85	29	8	25	23	0	0	0	46	0	55	30	0	0	0	16	39	30	52	27
1707261538	0	38	12	57	54	35	14	6	0	8	0	0	0	0	15	0	55	23	0	0	0	16	39	29	37	21
1707261603	0	37	9	55	52	35	3	0	0	3	0	0	0	0	16	0	55	20	0	0	0	16	39	29	35	21
1707261646	0	35	2	53	45	34	0	0	0	0	0	0	0	0	0	0	55	11	0	0	0	16	37	29	27	21
1707261709	0	35	1	53	45	34	0	0	0	0	0	0	0	0	0	0	55	11	0	0	0	16	37	29	27	21
1707261733	0	35	0	53	45	33	0	0	0	0	0	0	0	0	0	0	55	11	0	0	0	16	37	29	27	21
1707261807	0	35	0	54	45	33	0	0	0	0	0	0	0	0	1	0	55	11	0	0	0	16	37	29	27	21
1707261822	0	35	0	54	45	33	0	0	0	0	0	0	0	0	1	0	55	11	0	0	0	16	37	29	27	21
1707261842	0	35	0	54	45	33	0	0	0	0	0	0	0	0	1	0	55	11	0	0	0	16	37	29	27	21
1707261903	0	35	0	54	45	33	0	0	0	0	0	0	0	0	1	0	55	11	0	0	0	16	37	29	27	21
1707261944	0	35	0	54	44	33	0	0	0	0	0	0	0	0	1	0	55	10	0	0	0	16	37	29	26	21
1707262004	0	35	0	54	44	33	0	0	0	0	0	0	0	0	1	0	55	10	0	0	0	16	37	29	26	21
1707262107	0	35	0	54	44	33	0	0	0	0	0	0	0	0	1	0	55	10	0	0	0	16	37	29	26	20
1707262125	0	35	0	54	44	33	0	0	0	0	0	0	0	0	1	0	55	10	0	0	0	16	37	29	26	20
1707262142	0	35	0	54	44	33	0	0	0	0	0	0	0	0	1	0	55	10	0	0	0	16	37	29	26	20
1707262337	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707270001	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707270737	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707270816	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707270840	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707270903	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707271009	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707271027	0	35	0	54	44	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707271053	0	35	0	54	43	33	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	16	37	29	26	20
1707271136	0	35	0	54	43	33	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271218	0	35	0	54	43	33	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271250	0	35	0	54	43	33	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271309	0	34	0	54	43	33	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271338	0	34	0	54	43	33	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271422	0	34	0	54	43	34	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271448	0	34	0	54	43	34	0	0	0	0	0	0	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271510	0	34	0	54	43	34	0	0	0	0	0	0	0	0	0	0	55	9	1	0	0	13	37	29	26	20
1707271544	0	34	1	54	43	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271643	0	34	1	54	43	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
1707271704	0	34	1	54	43	34	0	0	0	0	0	1	0	0	0	0	55	10	1	0	0	13	37	29	26	20
