date	CBIO4105_27593	CBIO4106_28203	CBIO4201_27594	CBIO4201C_27595	CBIO4201C_27596	CBIO4300_28204	CBIO4306_27599	CBIO4308_27601	CBIO4310_27603	CBIO4318_27605	CBIO4325_28209	CBIO4326_27609	CBIO4503_27612	CBIO4521_27613	CBIO4523_13103	CBIO4525_27614	CBIO4527_27616	CBIO4528_27617	CBIO4600_13257	CBIO4800_28210	CBIO4800_28692	CBIO4804_12510	CBIO4805_12511	CBIO4806_27621	CBIO4807_27623	CBIO4808_27625	CBIO4809_27627	CBIO4810_27629	CBIO4811_27632	CBIO4812_27633	CBIO4813_27636	CBIO4902_12512	CBIO4912_12513	CBIO4913_12514	CBIO4918_27638	CBIO6802_15235	CBIO6802_16564	CBIO6802_16569	CBIO6802_16574	CBIO6802_23613	CBIO6803_15168	CBIO6803_21215	CBIO6803_21216	CBIO6903_12520	CBIO6914_11065	CBIO6924_15270	CBIO6925_15271	CBIO6970_12003	CBIO6971_12188	CBIO6980_12004	CBIO6981_12005	CBIO6982_12006	CBIO6983_12007	CBIO6984_26356	CBIO6985_12009	CBIO6986_17097	CBIO6987_22930	CBIO6988_27640	CBIO6990_12010	CBIO6991_28656	CBIO6997_27642
1707241848	7	9	14	4	10	7	13	6	10	10	10	8	8	6	28	9	9	19	100	8	0	81	13	7	8	9	10	8	9	10	10	27	22	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	7	8	10	8	8	3	5	10	4	2	18	0	2
1707242034	7	9	12	3	9	7	13	6	10	10	10	7	8	6	28	9	8	19	98	8	0	81	13	7	8	9	10	8	9	10	10	27	22	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	7	8	10	8	8	3	5	10	4	2	18	0	2
1707242132	7	9	12	3	9	7	13	6	10	10	10	7	8	6	28	9	8	19	98	8	0	81	13	7	8	9	10	8	9	10	10	27	22	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	7	8	10	8	8	3	5	10	4	2	18	0	2
1707242210	7	9	12	3	9	7	13	6	10	10	10	7	8	6	28	9	8	19	98	8	0	81	13	7	8	9	10	8	9	10	10	27	22	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	7	8	10	8	8	3	5	10	4	2	18	0	2
1707242307	7	9	12	3	9	7	13	6	10	10	10	7	8	6	28	9	8	19	98	8	0	81	13	7	8	9	10	8	9	10	10	27	22	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	5	8	10	8	8	3	5	10	4	2	18	0	2
1707242329	7	9	12	3	9	7	13	6	10	10	10	7	8	6	28	9	8	19	98	8	0	81	13	7	8	9	10	8	9	10	10	27	22	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	5	8	10	8	8	3	5	10	4	2	18	0	2
1707242343	7	9	12	3	9	7	13	6	10	10	10	7	8	6	28	9	8	19	98	8	0	81	13	7	8	9	10	8	9	10	10	27	22	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	5	8	10	8	8	3	5	10	4	2	18	0	2
1707250748	7	9	12	3	9	7	12	6	10	10	10	7	8	6	28	9	8	19	97	8	0	81	13	6	8	9	10	8	9	10	10	27	21	13	2	5	5	5	5	2	5	4	5	10	10	4	5	7	5	8	10	8	8	3	5	10	4	2	18	0	2
1707251027	7	9	12	3	9	7	12	6	10	10	10	6	8	6	28	9	8	19	96	8	0	81	10	7	8	9	10	8	9	10	10	26	21	12	2	5	5	5	5	2	5	4	5	10	10	4	5	7	4	8	10	8	8	1	5	10	4	2	16	0	2
1707251309	7	8	11	2	9	7	12	6	9	10	10	6	8	6	28	9	8	19	91	8	0	77	10	6	8	9	10	8	9	10	10	26	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	4	8	7	8	8	-1	5	10	4	2	15	0	2
1707251351	7	8	11	2	9	7	12	6	9	10	10	6	8	6	28	9	8	19	91	8	0	77	10	6	8	9	10	8	9	10	10	26	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	4	8	7	8	8	-1	5	10	4	2	15	0	2
1707251441	7	8	11	3	8	7	12	6	9	10	10	6	8	6	28	9	7	19	91	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	4	8	7	8	8	-1	5	10	4	2	14	0	2
1707251521	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	91	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	4	8	7	8	8	-1	5	9	4	2	14	0	2
1707251605	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	91	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	4	8	7	8	8	-1	5	9	4	2	14	0	2
1707251658	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	91	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	4	8	7	8	8	-1	5	9	4	2	14	0	2
1707251727	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	90	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707251900	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	90	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707251927	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	90	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707252025	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	90	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707252100	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	90	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707252124	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	90	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707252143	7	8	11	3	8	7	12	6	9	10	10	7	8	6	28	9	7	19	90	8	0	77	10	6	8	9	10	8	9	10	10	25	21	12	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707252259	7	8	11	4	7	7	12	7	9	10	10	7	8	6	28	9	6	19	90	9	0	77	10	6	7	9	10	8	9	10	10	24	21	11	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
1707252332	7	8	11	4	7	7	12	7	9	10	10	7	8	6	28	9	6	19	90	9	0	77	10	6	7	9	10	8	9	10	10	24	21	11	2	5	5	5	5	2	5	4	5	10	10	3	5	7	3	8	7	8	8	-1	5	9	4	2	14	0	2
