date	QUIM0000_20852	QUIM1000_10853	QUIM1001A_10826	QUIM1001A_10848	QUIM1004A_10997	QUIM1004A_11037	QUIM1100_19111	QUIM1101_10001	QUIM1102_10558	QUIM1102_13086	QUIM1103_10699	QUIM1103_10700	QUIM1103_10796	QUIM1103_11086	QUIM1103_11235	QUIM1103_11477	QUIM1103_11955	QUIM1103_12352	QUIM1103_12988	QUIM1103_20723	QUIM1103C_12356	QUIM1103C_12357	QUIM1103C_12360	QUIM1103C_12362	QUIM1103C_12364	QUIM1103C_12365	QUIM1103C_12366	QUIM1103C_12367	QUIM1103C_12368	QUIM1103C_12370	QUIM1103C_12371	QUIM1103C_12372	QUIM1103C_12374	QUIM1103C_12375	QUIM1103C_12376	QUIM1103C_12378	QUIM1103C_12380	QUIM1103C_12381	QUIM1103C_12382	QUIM1103C_12383	QUIM1103C_12384	QUIM1103C_12989	QUIM1103C_12990	QUIM1103C_18476	QUIM1103C_20776	QUIM1103C_20778	QUIM1103C_22805	QUIM1103C_25829	QUIM1104_10399	QUIM1104_10400	QUIM1104_10401	QUIM1104_10402	QUIM1104_10403	QUIM1104_10404	QUIM1104_10405	QUIM1104_10454	QUIM1104_10456	QUIM1104_10458	QUIM1104_10801	QUIM1104_10802	QUIM1104_10849	QUIM1104_10850	QUIM1104_11058	QUIM1104_11087	QUIM1104_11278	QUIM1104_11279	QUIM1104_11288	QUIM1104_11480	QUIM1104_11481	QUIM1104_11938	QUIM1104_11939	QUIM1104_11956	QUIM1104_12185	QUIM1104_12193	QUIM1104_12203	QUIM1104_12995	QUIM1104_12996	QUIM1104_13005	QUIM1104_13014	QUIM1104_13733	QUIM1104_14126	QUIM1105_10460	QUIM1105_23592	QUIM1105C_12315	QUIM1105C_12386	QUIM1105C_12388	QUIM1105C_14094	QUIM1105C_23582	QUIM1106_10462	QUIM1106_10463	QUIM1106_10464	QUIM1106_13734	QUIM1106_17110	QUIM1106_23578	QUIM1106_23597	QUIM1110_10827	QUIM1111_12261	QUIM1111_17112	QUIM1210_27238	QUIM1213_27239	QUIM1213_28101	QUIM1301_13500	QUIM1301C_12391	QUIM1301C_12392	QUIM1301C_23593	QUIM1302_10169	QUIM1302_10589	QUIM1302_10641	QUIM1302_12187	QUIM1302_18479	QUIM1303_10642	QUIM1303C_12317	QUIM1303C_12393	QUIM1303C_23615	QUIM1304_10515	QUIM1304_10762	QUIM1304_13987	QUIM1311_27240	QUIM1311_28100	QUIM1512_27241	QUIM1513_27242	QUIM1513_28096	QUIM1618_10851	QUIM1618_26113	QUIM1618C_12318	QUIM1618C_12394	QUIM1618C_12395	QUIM1618C_12396	QUIM1618C_23581	QUIM1618C_28095	QUIM1619_10559	QUIM1619_10643	QUIM1619_10763	QUIM1619_11012	QUIM1619_19034	QUIM1619_23579	QUIM1619_23580	QUIM2312_27243	QUIM2518_12262	QUIM2518C_12319	QUIM2518C_12402	QUIM2519_10645	QUIM2519_10646	QUIM2519_28664	QUIM2620_27244	QUIM2621_27245	QUIM2621_28098	QUIM2624_27246	QUIM2625_27247	QUIM2626_27248	QUIM3012_27249	QUIM3014_12983	QUIM3213_28709	QUIM3214_27250	QUIM3313_28708	QUIM3315_27251	QUIM3401_27252	QUIM3402_10780	QUIM3514_27254	QUIM3900_10800	QUIM3991_25971	QUIM3992_25972	QUIM3997_23424	QUIM4013_25969	QUIM4100_12263	QUIM4150_11360	QUIM4165_12073	QUIM4213_28588	QUIM4230_28231	QUIM4313_28587	QUIM4513_28589	QUIM4900_11518	QUIM4950_12074	QUIM6961_14142	QUIM6970_12320	QUIM6971_13474	QUIM6975_12464	QUIM6981_12321	QUIM6982_12322	QUIM6983_13475	QUIM6984_13894	QUIM6985_18932	QUIM6986_21206	QUIM6987_22404	QUIM6988_24943	QUIM6989_27258	QUIM6990_16874	QUIM6997_24944
1707241129	24	33	43	38	44	45	0	74	19	23	29	68	66	20	0	0	45	56	18	53	21	21	16	24	24	18	24	0	16	8	12	0	0	20	0	18	23	15	22	16	16	7	0	6	11	18	20	14	10	18	6	12	4	0	15	7	20	1	7	9	0	0	20	19	17	4	0	0	15	0	13	1	21	18	4	23	15	9	20	0	22	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	17	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	20	20	10	20	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241147	23	33	43	38	44	45	0	74	19	23	29	68	66	20	0	0	43	55	18	51	21	21	16	24	24	18	24	0	16	8	12	0	0	20	0	16	23	15	22	16	15	7	0	6	9	18	20	14	10	18	7	13	4	0	15	7	20	2	8	7	0	0	20	19	15	3	0	0	14	0	13	1	21	18	1	23	15	9	20	0	22	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	17	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	19	20	10	19	20	20	17	20	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241221	23	32	43	38	42	45	0	74	19	23	31	68	65	19	0	0	40	56	16	51	21	22	16	24	23	18	24	0	15	8	11	0	0	20	0	16	22	12	22	17	15	8	0	4	9	18	20	15	9	15	7	12	5	0	16	6	22	1	8	7	0	0	21	19	15	3	0	0	12	0	13	1	21	18	1	23	15	9	20	0	22	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	16	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	19	19	10	19	20	20	17	19	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241307	23	32	43	38	42	45	0	74	19	23	30	68	65	17	0	0	39	56	17	49	21	21	15	24	23	18	24	0	13	8	12	0	0	20	0	16	21	12	22	17	15	8	1	4	7	18	20	15	8	14	7	12	5	0	16	7	22	1	9	7	0	0	21	19	15	1	0	0	11	0	13	1	21	18	0	23	15	9	20	0	21	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	16	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	19	19	10	19	20	20	17	19	30	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241415	23	31	43	38	41	45	0	74	19	23	29	67	65	17	0	0	39	55	14	50	20	21	14	24	23	18	24	0	13	8	12	0	0	20	0	16	21	10	22	17	14	8	0	4	8	18	20	15	8	14	7	12	5	0	15	7	22	2	10	7	0	0	19	19	15	1	0	0	11	0	13	0	21	18	-1	22	13	10	20	0	21	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	15	0	50	24	0	89	30	29	30	21	22	24	24	24	71	30	30	29	23	24	24	24	0	48	24	0	82	60	28	28	28	28	28	30	20	24	24	0	24	24	0	48	50	24	24	24	24	0	48	24	0	24	24	30	30	30	0	50	0	24	30	24	30	20	0	0	5	20	17	18	8	18	20	20	17	17	28	10	20	5	20	20	20	10	10	10	10	10	10	20	20	5
1707241512	23	31	43	37	41	45	0	72	18	22	29	66	65	17	0	0	39	55	15	50	20	21	14	23	23	18	24	0	13	8	12	0	0	20	0	16	21	11	22	17	14	8	0	4	8	18	20	15	8	14	7	12	5	0	15	7	22	2	9	7	0	0	19	19	15	1	0	0	12	0	13	0	21	18	-1	22	13	10	20	0	21	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	15	0	50	24	0	88	30	28	30	21	22	23	24	24	70	29	30	29	23	24	23	24	0	48	24	0	82	57	28	26	28	27	28	30	20	23	22	0	24	24	0	48	48	22	24	23	23	0	48	24	0	24	24	30	29	30	0	50	0	24	30	24	29	20	0	0	5	19	17	17	6	17	20	18	17	15	26	10	18	4	20	19	19	10	10	10	10	10	10	20	20	5
1707241556	22	31	42	37	42	45	0	71	18	22	26	65	65	17	0	0	39	55	13	50	19	20	13	23	23	18	24	0	13	8	12	0	0	20	0	16	21	9	22	17	14	8	0	4	8	18	20	14	8	14	7	12	5	0	15	7	21	1	9	6	0	0	18	19	13	1	0	0	12	0	12	0	21	18	-1	22	13	10	20	0	21	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	15	0	50	24	0	88	30	28	30	21	22	23	24	24	69	29	29	29	23	24	22	24	0	48	24	0	81	57	27	26	28	27	28	30	19	23	22	0	24	24	0	48	46	20	24	23	21	0	48	24	0	24	24	30	29	29	0	50	0	24	29	23	29	19	0	0	5	18	16	17	6	17	19	16	15	15	26	10	18	4	20	19	18	10	10	10	10	10	10	20	20	5
1707241623	22	31	42	36	41	45	0	70	17	22	26	63	65	17	5	5	39	55	13	50	19	20	11	23	23	18	24	0	13	8	12	0	0	20	0	16	21	8	21	18	14	8	1	4	8	18	20	14	7	12	7	12	5	0	15	7	21	1	9	6	1	0	18	19	13	2	0	0	12	0	12	0	21	18	-1	22	13	10	20	0	21	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	15	0	50	24	0	88	30	28	30	21	22	23	24	24	69	29	29	29	23	24	22	24	0	48	24	0	81	56	27	26	28	26	28	30	18	23	22	0	24	24	0	48	43	17	24	23	18	0	48	24	0	24	24	30	29	29	0	50	0	24	29	23	29	18	0	0	5	18	16	17	5	17	20	16	14	15	25	10	18	4	20	18	18	10	10	10	10	10	10	20	20	5
1707241717	22	31	42	36	42	45	0	70	17	21	26	64	65	18	3	3	39	55	12	50	19	20	12	23	23	18	24	0	13	7	11	0	0	18	0	16	21	8	21	18	14	7	1	4	8	18	21	14	7	12	7	12	5	0	14	7	21	1	10	6	0	0	17	19	13	2	0	0	12	0	12	0	21	18	-1	22	13	10	20	0	20	80	0	30	30	30	30	29	20	20	20	20	20	0	0	33	15	0	50	24	0	88	30	28	30	21	22	23	24	24	69	29	29	29	23	24	22	24	0	48	24	0	81	56	27	26	28	26	28	30	18	23	22	0	24	24	0	48	42	16	24	22	18	0	48	24	0	24	23	30	27	29	0	50	0	22	28	22	28	17	0	0	5	17	16	17	5	17	19	15	13	15	25	10	16	3	18	17	17	10	10	10	10	10	10	20	20	5
1707241814	22	30	42	37	42	45	0	70	17	21	26	63	66	17	3	3	38	53	12	50	19	20	12	23	23	19	24	0	13	7	11	0	0	18	0	15	21	8	19	18	14	7	1	4	8	18	20	14	7	12	5	12	5	0	14	7	21	1	9	6	0	0	17	19	13	2	0	0	12	0	12	0	21	18	-1	22	13	10	20	0	20	80	0	30	30	30	30	29	20	20	20	20	20	0	0	32	14	0	50	24	0	88	30	28	30	21	22	23	24	24	69	29	29	29	23	24	22	24	0	48	24	0	81	56	27	26	28	26	28	30	18	23	22	0	24	24	0	48	42	16	24	22	18	0	48	24	0	24	23	30	27	29	0	50	0	22	28	22	28	17	0	0	5	17	16	17	5	17	19	15	13	15	25	10	16	3	18	17	17	10	10	10	10	10	10	20	20	5
