date	IELE1000_16750	IELE1000C_12592	IELE1000C_13115	IELE1000C_16757	IELE1000C_25795	IELE1000C_25796	IELE1000C_25797	IELE1000L_16766	IELE1000L_16767	IELE1000L_16768	IELE1000L_25800	IELE1002_12095	IELE1002_20906	IELE1002L_13618	IELE1002L_13619	IELE1002L_14092	IELE1002L_14133	IELE1002L_23258	IELE1006_13425	IELE1006_25803	IELE1006L_13630	IELE1006L_13631	IELE1006L_15220	IELE1006L_15269	IELE1006L_23279	IELE1010_13288	IELE1010_25672	IELE1010L_13281	IELE1010L_14856	IELE1010L_18681	IELE1010L_25804	IELE1010L_25805	IELE1080_24496	IELE1080_25676	IELE1400_23169	IELE1400_27889	IELE1400L_13633	IELE1400L_14858	IELE1400L_23262	IELE1400L_23263	IELE1502_13428	IELE1502L_13609	IELE1502L_23264	IELE1502L_23568	IELE1502L_25807	IELE1502L_25809	IELE1502L_27986	IELE1999_13476	IELE2000_10833	IELE2002_10834	IELE2002C_12644	IELE2002L_13635	IELE2002L_13636	IELE2002L_23265	IELE2002L_25810	IELE2009_13799	IELE2009L_13852	IELE2009L_14863	IELE2009L_25811	IELE2010_13637	IELE2010L_13638	IELE2010L_13639	IELE2010L_23266	IELE2010L_25812	IELE2040B_26860	IELE2042B_15084	IELE2044B_26861	IELE2080_24499	IELE2081_24500	IELE2100_10835	IELE2100L_13640	IELE2100L_14066	IELE2100L_14067	IELE2100L_14883	IELE2100L_14884	IELE2206_13429	IELE2206L_13641	IELE2206L_13642	IELE2206L_14096	IELE2206L_25818	IELE2210_24501	IELE2210_25680	IELE2210L_24502	IELE2210L_25681	IELE2210L_25683	IELE2210L_25686	IELE2210L_25687	IELE2300_10931	IELE2300_10968	IELE2300_10969	IELE2300L_13646	IELE2300L_13647	IELE2300L_13648	IELE2300L_13649	IELE2300L_15061	IELE2300L_15062	IELE2300L_15063	IELE2300L_15064	IELE2300L_16786	IELE2300L_20916	IELE2300L_25821	IELE2402_13477	IELE2402L_13650	IELE2402L_13651	IELE2402L_23270	IELE2500_13548	IELE2500L_13549	IELE2500L_14097	IELE2500L_14893	IELE2500L_25859	IELE2900_11068	IELE2901_24503	IELE3000_11173	IELE3001_10450	IELE3002_10451	IELE3006_10836	IELE3006L_14079	IELE3006L_14894	IELE3087_26862	IELE3088_26863	IELE3090_13853	IELE3100_26864	IELE3102_26865	IELE3106_26866	IELE3108_13430	IELE3150_26867	IELE3200_10932	IELE3200L_13660	IELE3200L_20922	IELE3208_12173	IELE3222_26868	IELE3222L_26869	IELE3222L_28132	IELE3330_13803	IELE3336_26870	IELE3430_13804	IELE4000_10553	IELE4001_11363	IELE4002_10554	IELE4003_11059	IELE4005_11542	IELE4010_10509	IELE4011_10693	IELE4014_26872	IELE4020_10555	IELE4021_10510	IELE4024_13854	IELE4070_12049	IELE4107_28239	IELE4108_26873	IELE4109_26874	IELE4215_26876	IELE4302_26877	IELE4311_26878	IELE4402_26879	IELE6002_14119	IELE6003_24518	IELE6007_21210	IELE6402_13855	IELE6970_13856	IELE6980_13857	IELE6981_24519	IELE6982_13859	IELE6983_26880	IELE6990_16804	IELE6997_24520
1707241129	15	0	0	0	0	0	0	-1	0	0	0	49	50	18	17	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	59	43	16	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	52	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	75	69	44	17	18	18	18	18	16	18	16	18	18	18	43	11	12	12	63	15	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	43	30	24	0	50	12	12	24	44	20	20	24	41	18	19	23	24	1	0	29	28	31	23	24	1	0	33	38	19	21	21	27	30	1	4	1	10	10	20	12	20	20	10	2
1707241147	15	0	0	0	0	0	0	-1	0	0	0	49	50	18	17	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	59	43	16	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	52	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	75	69	44	17	18	18	18	18	16	18	16	18	18	18	43	11	12	12	63	15	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	43	30	24	0	50	12	12	24	44	20	20	24	41	18	17	23	23	0	0	28	27	31	23	23	0	0	32	36	16	21	19	27	30	1	4	1	10	10	20	12	20	20	10	2
1707241221	15	0	0	0	0	0	0	-1	0	0	0	49	50	18	17	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	59	43	16	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	52	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	75	69	44	17	18	18	18	18	16	18	16	18	18	18	43	11	12	12	63	15	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	43	30	24	0	50	12	12	24	44	20	20	24	41	18	16	23	22	0	0	28	27	31	23	22	0	0	32	36	16	21	18	27	30	1	4	1	10	10	20	12	20	20	10	2
1707241307	14	1	0	0	2	0	0	2	2	2	2	49	50	18	17	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	59	43	16	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	52	33	0	0	64	13	13	13	13	13	60	14	14	14	14	54	39	18	17	18	18	18	75	69	44	17	18	18	18	18	16	18	16	18	18	18	43	11	12	12	63	15	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	43	30	24	0	50	12	12	24	44	20	20	24	41	18	16	20	21	0	0	28	27	31	20	21	0	0	32	36	16	21	18	27	30	1	4	1	10	10	20	12	20	20	10	2
1707241415	12	0	0	0	2	0	0	2	2	0	2	49	50	18	17	18	18	14	68	34	16	16	16	16	16	42	36	16	16	16	16	16	24	24	59	43	16	18	18	18	64	12	12	12	12	12	18	50	10	62	62	14	14	14	14	46	15	20	15	64	16	16	16	16	37	52	33	0	0	64	13	13	13	13	13	60	14	14	14	14	52	39	16	17	18	18	18	75	69	44	17	18	18	18	18	16	18	16	18	18	18	43	11	12	12	63	15	16	16	16	0	0	52	36	36	43	16	15	1	1	12	24	43	30	24	0	50	12	12	24	44	20	20	24	41	18	12	17	21	0	0	24	27	30	17	21	0	0	28	34	7	21	17	27	28	1	4	1	10	10	20	12	20	20	10	2
1707241512	10	0	0	0	0	0	0	0	2	0	2	47	50	17	17	17	18	14	67	34	16	16	15	16	16	39	36	14	16	15	16	16	24	24	58	43	15	18	18	18	63	12	11	12	12	12	18	50	10	60	60	13	14	13	14	46	15	20	15	64	16	16	16	16	37	49	33	0	0	62	13	13	12	12	13	59	13	14	14	14	50	39	16	17	16	18	18	71	67	39	17	15	13	18	17	16	18	16	18	18	16	42	10	12	12	59	12	16	16	15	0	0	51	36	35	42	16	14	1	1	12	23	41	29	23	0	50	12	12	24	43	19	20	24	40	18	12	15	21	0	0	22	27	28	15	21	0	0	27	34	7	21	16	27	28	1	4	1	9	10	20	12	19	18	10	2
1707241556	10	0	0	0	0	0	0	0	2	0	2	47	50	17	17	17	18	14	67	34	16	16	15	16	16	39	36	14	16	15	16	16	24	24	57	43	14	18	18	18	63	11	12	12	12	12	18	50	10	60	60	13	14	13	14	45	14	20	15	64	16	16	16	16	37	46	33	0	0	60	12	13	12	12	12	59	13	14	14	14	49	39	16	17	15	18	18	71	65	39	15	15	13	18	17	16	18	16	18	18	16	42	10	12	12	59	12	15	16	16	0	0	51	36	35	42	16	14	1	1	12	22	41	28	23	0	50	12	12	24	43	19	20	24	40	18	10	15	21	0	0	21	27	28	15	21	0	0	27	34	6	20	15	27	27	1	4	1	9	10	20	12	19	18	10	2
1707241623	10	0	0	0	0	0	0	0	2	0	2	47	50	17	17	17	18	14	67	34	16	16	15	16	16	39	36	14	16	15	16	16	24	24	57	43	14	18	18	18	63	11	12	12	12	12	18	50	10	60	60	13	14	13	14	45	14	20	15	64	16	16	16	16	37	46	33	0	0	60	12	13	12	12	12	59	13	14	14	14	49	39	16	17	15	18	18	71	65	39	15	15	13	18	17	16	18	16	18	18	16	41	10	12	11	59	12	15	16	16	0	0	51	35	33	42	16	14	1	1	12	22	41	26	23	0	50	12	12	24	43	19	20	24	40	18	10	13	21	0	0	21	27	27	13	21	0	0	27	34	6	20	15	27	27	1	4	1	9	9	20	12	19	17	10	2
1707241717	10	1	2	2	0	1	2	0	2	0	2	21	24	11	11	11	12	12	23	24	16	16	15	16	16	16	20	8	10	9	10	9	0	0	57	43	14	18	18	18	63	11	12	12	12	12	18	50	10	59	59	12	14	13	14	43	13	19	15	63	16	16	16	15	37	46	33	0	0	59	12	13	11	12	12	57	13	13	13	14	49	39	10	11	9	12	12	24	26	25	10	11	9	14	13	14	14	14	14	14	12	36	5	9	8	59	8	11	12	12	0	0	48	33	32	41	11	10	1	1	12	21	41	25	21	0	48	12	10	23	42	9	9	24	39	18	10	10	19	0	0	21	27	27	10	19	0	0	26	34	6	20	15	27	27	1	4	1	9	9	20	12	19	16	9	2
1707241814	9	1	2	2	0	1	2	0	1	0	2	21	24	11	11	11	12	12	23	24	16	16	15	16	16	16	20	8	10	9	10	9	0	0	57	43	14	18	18	18	63	11	12	12	12	12	18	50	10	59	59	12	14	13	14	43	13	19	15	63	16	16	16	15	37	46	33	0	0	59	12	13	11	12	12	57	13	13	13	14	49	39	10	11	9	12	12	24	26	25	10	11	9	14	13	14	14	14	14	14	12	35	4	9	8	59	8	11	12	12	0	0	48	33	32	41	11	10	1	1	12	21	41	25	21	0	48	12	10	23	41	8	9	23	38	18	10	10	19	0	0	21	27	27	10	19	0	0	25	34	6	20	15	27	27	1	4	1	9	9	20	12	18	16	8	2
