date	EDUI4002_26632	EDUI4010_28651	EDUI4011_24157	EDUI4013_26634	EDUI4013_27782	EDUI4017_24159	EDUI4021_26635	EDUI4022_24161	EDUI4025_24162	EDUI4031_26636	EDUI4206_26638	EDUI4206_27798	EDUI4206_27799	EDUI4206_27800	EDUI4720_24168
1707271643	2	0	6	5	10	11	3	14	11	1	2	2	-5	3	10
1707271704	2	0	6	5	10	11	3	14	11	1	2	2	-5	3	10
1707271720	2	0	6	5	10	11	3	14	11	1	2	2	-5	3	10
1707271802	2	0	6	5	10	10	3	13	10	1	2	2	-5	3	9
1707272002	2	-1	1	6	10	0	4	7	-1	-2	2	2	-5	3	-1
1707272150	2	-1	1	6	10	0	4	7	-1	-2	2	2	-5	3	-1
1707272237	2	-1	1	6	10	0	4	7	-1	-2	2	2	-5	3	-1
1707281100	2	-1	1	6	9	0	4	7	-1	-2	2	2	-5	3	-1
1707281233	2	-1	1	4	9	0	4	7	-1	-2	2	2	-5	3	-1
1707281457	2	-1	1	4	9	0	4	7	-1	-2	2	2	-5	3	-1
1707281621	2	-1	1	4	9	0	4	7	-1	-2	2	2	-5	3	-1
1707281911	2	-1	1	4	9	0	4	7	-1	-2	2	2	-5	3	-1
