date	CPOL1000_11298	CPOL1003_14523	CPOL1100_10967	CPOL1201_26428	CPOL1300_10027	CPOL1400_10906	CPOL1500_10028	CPOL2126_26429	CPOL2129B_26430	CPOL2136_26431	CPOL2143_26432	CPOL2144_27840	CPOL2206_26434	CPOL2251_26435	CPOL2254_27926	CPOL2335_26438	CPOL2342_26439	CPOL2344_26440	CPOL2346_26441	CPOL2411B_26442	CPOL2419A_26443	CPOL2423_26444	CPOL2424_26445	CPOL2501_26446	CPOL2601_13787	CPOL2602_28066	CPOL3003_10029	CPOL3005_10830	CPOL3202_26447	CPOL3300_26448	CPOL3402_26449	CPOL3500_26450	CPOL3600_12968	CPOL3990_10205	CPOL3991_18905	CPOL3992_17158	CPOL3993_10831	CPOL3995_18900	CPOL4000_26451	CPOL4001_23932	CPOL4066_18902	CPOL4103_18897	CPOL4522_26452	CPOL6523_19077	CPOL6972_20182	CPOL6973_20183	CPOL6974_20180	CPOL6975_20184	CPOL6976_20185	CPOL6977_20186	CPOL6978_20187	CPOL6979_20188	CPOL6980_12822	CPOL6990_21463	CPOL6994_26453	CPOL6998_19051
1707242132	39	45	86	85	84	78	59	43	49	50	42	37	53	42	32	60	52	34	28	46	20	32	30	56	0	0	8	7	13	7	10	42	19	39	5	4	36	5	0	0	14	10	8	0	0	0	0	0	0	0	0	0	10	0	0	0
1707242210	39	45	86	85	84	78	59	43	49	50	42	37	53	42	32	60	52	34	28	46	20	32	30	56	0	0	8	7	13	7	10	42	19	39	5	4	36	5	0	0	14	10	8	0	0	0	0	0	0	0	0	0	10	0	0	0
1707242307	39	45	86	85	84	78	59	43	49	50	42	37	53	42	32	60	52	34	28	46	20	32	30	56	0	0	8	7	13	7	10	42	19	39	5	4	36	5	0	0	14	10	8	0	0	0	0	0	0	0	0	0	10	0	0	0
1707242329	39	45	86	85	84	78	59	43	49	50	42	37	53	42	32	60	52	34	28	46	20	32	30	56	0	0	8	7	13	7	10	42	19	39	5	4	36	5	0	0	14	10	8	0	0	0	0	0	0	0	0	0	10	0	0	0
1707242343	39	45	86	85	84	78	59	43	49	50	42	37	53	42	32	60	52	34	28	46	20	32	30	56	0	0	8	7	13	7	10	42	19	39	5	4	36	5	0	0	14	10	8	0	0	0	0	0	0	0	0	0	10	0	0	0
1707250748	39	45	86	85	84	78	59	43	49	50	42	37	53	42	32	60	52	34	28	46	20	32	30	56	0	0	8	7	13	7	10	42	19	39	5	4	36	5	0	0	14	10	7	0	0	0	0	0	0	0	0	0	10	0	0	0
1707251027	39	46	85	83	82	78	56	38	44	39	38	32	49	36	28	55	45	30	22	45	30	31	27	49	0	0	6	5	7	0	10	23	18	37	3	5	23	5	0	0	14	10	6	0	0	0	0	0	0	0	0	0	10	0	0	0
1707251309	39	46	85	82	80	78	50	35	40	30	30	30	44	30	24	50	38	28	13	42	21	26	26	34	0	0	6	5	3	0	8	8	17	31	3	5	19	5	0	0	14	9	6	0	0	0	0	0	0	0	0	0	10	0	0	0
1707251351	39	46	85	82	80	78	50	35	40	30	30	30	44	30	24	50	38	28	13	42	21	26	26	34	0	0	6	5	3	0	8	8	17	29	3	5	19	5	0	0	14	9	6	0	0	0	0	0	0	0	0	0	10	0	0	0
1707251441	39	46	83	81	80	78	38	28	36	22	29	23	40	24	17	47	27	25	6	42	16	23	25	25	0	0	6	5	3	0	6	2	17	29	3	5	19	5	0	0	14	9	6	0	0	0	0	0	0	0	0	0	10	0	0	0
1707251521	39	45	83	80	80	78	34	20	33	18	28	19	36	21	14	44	26	25	2	40	15	23	25	20	0	0	6	5	2	0	6	2	17	29	3	5	18	5	0	0	14	9	6	0	0	0	0	0	0	0	0	0	10	0	0	0
1707251605	39	45	82	80	78	78	30	16	32	15	25	17	31	19	11	41	21	24	2	38	12	21	22	16	0	0	6	5	2	0	5	2	17	29	3	5	16	5	0	0	14	9	6	0	0	0	0	0	0	0	0	0	10	0	0	0
