date	DDER6100_14530	DDER6101_28090	DDER6201_28093	DDER6201_28094	DDER6203_11257	DDER6204_11473	DDER6401_12246	DDER6402_13052	DDER6403_12247	DDER6404_13053	DDER6501_13406	DDER6961_15203	DDER6980_12011	DDER6981_12012	DDER6990_12013	DDER6997_13407
1707271448	39	7	11	13	5	4	13	15	12	15	6	3	2	7	4	2
1707271510	39	7	11	13	5	4	13	15	12	15	6	3	2	7	4	2
1707271544	39	7	10	14	5	4	13	15	12	15	6	3	2	7	4	2
1707271643	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707271704	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707271720	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707271802	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707272002	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707272150	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707272237	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707281100	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707281233	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707281457	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707281621	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
1707281911	38	7	10	14	5	4	13	15	12	15	6	3	3	5	4	2
