date	ARQU1010_23747	ARQU1020_10904	ARQU1021_10193	ARQU1100_26256	ARQU1111_13825	ARQU1111_14020	ARQU1111_14022	ARQU1111_14025	ARQU1111_20809	ARQU1121_13826	ARQU1121_14026	ARQU1121_14027	ARQU1121_14028	ARQU1121_27531	ARQU1201_10766	ARQU1201_10768	ARQU1201_12445	ARQU1201_12446	ARQU1201_16622	ARQU1202_10676	ARQU1202_10770	ARQU1202_12447	ARQU1202_12448	ARQU1202_27533	ARQU1225A_12236	ARQU1226A_11064	ARQU1229A_12000	ARQU1231B_26257	ARQU1301_10677	ARQU1301_10772	ARQU1301_12449	ARQU1301_16623	ARQU1301_20811	ARQU1302_10678	ARQU1302_10773	ARQU1302_12455	ARQU1302_12456	ARQU1302_27535	ARQU1305A_12237	ARQU1306B_10679	ARQU1410_11164	ARQU1410_11230	ARQU1410_12451	ARQU1410_12452	ARQU1410_13317	ARQU1420_11165	ARQU1420_11231	ARQU1420_12453	ARQU1420_25689	ARQU1420_27538	ARQU1502_14034	ARQU1503_12264	ARQU1503_12459	ARQU1503_13258	ARQU1503_13259	ARQU1503_16982	ARQU1504_13250	ARQU1552_11166	ARQU2101_10857	ARQU2101_12121	ARQU2101_13260	ARQU2101_13271	ARQU2101_15075	ARQU2102_10218	ARQU2102_12122	ARQU2102_12460	ARQU2102_13272	ARQU2102_13273	ARQU2103_11372	ARQU2103_11373	ARQU2103_13652	ARQU2103_13653	ARQU2103_13654	ARQU2201_23751	ARQU2201_25691	ARQU2202_10026	ARQU2202_23038	ARQU2203_10590	ARQU2203_23043	ARQU2310_23752	ARQU2310_25693	ARQU2320_23753	ARQU2320_25695	ARQU2330_23754	ARQU2330_25696	ARQU2410_23755	ARQU2410_25697	ARQU2420_23756	ARQU2420_25698	ARQU2430_23757	ARQU2430_25699	ARQU3156_23003	ARQU3163_13669	ARQU3168_23758	ARQU3249_18589	ARQU3252_25820	ARQU3325_14033	ARQU3351_21358	ARQU3449_28368	ARQU3823_13715	ARQU3828_13672	ARQU3829_13673	ARQU3852_20139	ARQU3853_20141	ARQU3854_20142	ARQU3858_21360	ARQU3859_21361	ARQU3860_21362	ARQU3861_23765	ARQU3862_23766	ARQU3863_23767	ARQU3864_26263	ARQU3865_26264	ARQU3866_26265	ARQU3867_26266	ARQU3868_26267	ARQU3869_26268	ARQU3870_27791	ARQU3871_27792	ARQU3872_27793	ARQU3910_11293	ARQU3910_11849	ARQU3911_12151	ARQU3911_25711	ARQU3912_12273	ARQU3912_16888	ARQU3913_15151	ARQU3913_15153	ARQU3920_23771	ARQU3930_11295	ARQU3931_12152	ARQU3932_15361	ARQU3933_15152	ARQU3990_11371	ARQU3991_23772	ARQU3992_23773	ARQU4102_27873	ARQU4105_27879	ARQU4202_27883	ARQU4203_25367	ARQU4204_25368	ARQU4301_25198	ARQU4302_25369	ARQU4303_25370
1707241848	76	4	5	33	0	0	0	5	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	7	0	0	0	17	17	18	18	18	34	64	0	0	0	6	0	17	18	17	17	18	18	0	0	0	0	4	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	46	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	19	19	19	8	5	6	8	4	0	5	6	75	13	14	4	11	975	0	0	8	10	10	10	5	6	3	5
1707242034	74	4	5	32	0	0	0	4	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	6	0	0	0	17	17	18	18	18	34	64	0	0	0	5	0	17	18	17	17	18	18	0	0	0	0	3	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	45	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	18	18	18	8	5	6	8	4	0	5	6	73	13	14	4	11	973	0	0	8	10	10	10	5	6	3	5
1707242132	74	4	5	32	0	0	0	3	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	6	0	0	0	17	17	18	18	18	34	64	0	0	0	5	0	17	18	17	17	18	18	0	0	0	0	3	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	45	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	18	18	18	8	5	6	8	4	0	5	6	73	13	14	4	11	973	0	0	8	9	9	10	5	6	3	5
1707242210	74	4	5	32	0	0	0	3	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	6	0	0	0	17	17	18	18	18	34	64	0	0	0	5	0	17	18	17	17	18	18	0	0	0	0	3	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	45	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	18	18	18	8	5	6	8	4	0	5	6	73	13	14	4	11	973	0	0	8	9	9	10	5	6	3	5
1707242307	74	4	5	32	0	0	0	3	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	6	0	0	0	17	17	18	18	18	34	64	0	0	0	5	0	17	18	17	17	18	18	0	0	0	0	3	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	45	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	18	18	18	8	5	6	8	4	0	5	6	73	13	14	4	11	973	0	0	8	9	9	10	5	6	3	5
1707242329	74	4	5	32	0	0	0	3	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	6	0	0	0	17	17	18	18	18	34	64	0	0	0	5	0	17	18	17	17	18	18	0	0	0	0	3	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	45	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	18	18	18	8	5	6	8	4	0	5	6	73	13	14	4	11	973	0	0	8	9	9	10	5	6	3	5
1707242343	74	4	5	32	0	0	0	3	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	6	0	0	0	17	17	18	18	18	34	64	0	0	0	5	0	17	18	17	17	18	18	0	0	0	0	3	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	45	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	18	18	18	8	5	6	8	4	0	5	6	73	13	14	4	11	973	0	0	8	9	9	10	5	6	3	5
1707250748	74	4	5	32	0	0	0	3	0	18	18	18	18	17	0	0	0	0	6	17	18	18	18	18	37	40	39	76	0	6	0	0	0	17	17	18	18	18	34	64	0	0	0	5	0	17	18	17	17	18	18	0	0	0	0	3	19	20	44	0	0	0	0	48	0	0	0	0	58	0	0	0	0	45	39	41	46	45	45	42	44	47	45	42	44	46	46	47	46	47	40	10	11	9	13	9	13	11	13	21	21	21	23	23	23	22	22	22	19	19	19	24	24	24	22	22	22	18	18	18	8	5	6	8	4	0	5	6	73	13	14	4	11	973	0	0	8	9	9	10	5	6	2	5
1707251027	34	4	4	32	0	0	0	2	0	18	18	18	18	17	0	0	0	0	5	17	18	18	18	18	55	62	51	76	0	5	0	0	0	17	17	18	18	18	51	58	0	0	0	4	0	17	18	17	17	18	17	0	0	0	0	2	18	20	41	0	0	0	0	47	0	0	0	0	55	0	0	0	0	45	35	41	46	43	44	38	41	46	42	39	44	41	46	47	46	47	37	0	10	0	15	3	11	5	10	20	19	20	21	21	21	19	19	19	16	16	16	23	23	23	11	11	11	2	3	2	8	0	0	2	0	0	0	0	49	8	2	0	0	934	0	0	8	9	9	10	5	6	1	5
1707251309	33	4	4	32	0	0	0	2	0	18	18	18	18	17	0	0	0	0	5	17	18	18	18	18	47	57	43	74	0	5	0	0	0	17	17	18	18	18	46	54	0	0	0	4	0	17	18	17	17	18	17	0	0	0	0	1	17	17	40	0	0	0	0	47	0	0	0	0	54	0	0	0	0	45	34	41	45	42	42	37	41	45	41	39	44	38	46	45	46	46	38	0	1	0	8	0	8	0	0	20	19	20	18	18	18	14	14	14	4	4	6	3	3	3	0	0	0	0	1	0	8	0	0	2	0	0	0	0	49	8	2	0	0	934	-8	0	7	9	9	10	5	5	1	5
