date	IMEC1000_10418	IMEC1000C_20840	IMEC1000C_20940	IMEC1000C_20941	IMEC1000C_25495	IMEC1001_10377	IMEC1001_10659	IMEC1001_12765	IMEC1001L_25521	IMEC1001L_25525	IMEC1001L_25527	IMEC1001L_25531	IMEC1330_11220	IMEC1330_21154	IMEC1330L_12298	IMEC1330L_12785	IMEC1330L_18704	IMEC1410_10011	IMEC1410_10174	IMEC1410_28345	IMEC1410L_12299	IMEC1410L_12793	IMEC1410L_22971	IMEC1410L_22972	IMEC1410L_28346	IMEC1503_10378	IMEC1503_10379	IMEC1503_10380	IMEC1503C_20954	IMEC1503C_20956	IMEC1503C_20958	IMEC1503C_20959	IMEC1541_10175	IMEC1541_12194	IMEC1541L_12300	IMEC1541L_12813	IMEC1997_19846	IMEC2070_11255	IMEC2210_11116	IMEC2210L_12301	IMEC2210L_12821	IMEC2210L_26121	IMEC2320_10176	IMEC2320_27781	IMEC2320L_12972	IMEC2320L_12973	IMEC2320L_27783	IMEC2411_10012	IMEC2411_12171	IMEC2411L_12302	IMEC2411L_12827	IMEC2520_16810	IMEC2520_18775	IMEC2520L_12303	IMEC2520L_12829	IMEC2540_10572	IMEC2540_10660	IMEC2540L_12304	IMEC2540L_12833	IMEC2540L_12835	IMEC2543_10792	IMEC2543_28613	IMEC2543L_14047	IMEC2543L_25602	IMEC2543L_25610	IMEC2700_11070	IMEC2700C_28073	IMEC2797_19847	IMEC3345_10970	IMEC3345L_14051	IMEC3345L_14052	IMEC3350_26899	IMEC3460_14054	IMEC3460_27812	IMEC3460C_20990	IMEC3460C_20991	IMEC3530_10971	IMEC3530_22770	IMEC3530C_20845	IMEC3530C_20994	IMEC3700_10013	IMEC3701_10014	IMEC3702_11284	IMEC3707_26900	IMEC3991_27373	IMEC3997_19845	IMEC4001_26901	IMEC4070_21954	IMEC4105_26902	IMEC4210_26905	IMEC4222_28072	IMEC4430_26906	IMEC4521_26907	IMEC4700_12978	IMEC4701_10540	IMEC4702_10541	IMEC4800_10580	IMEC4801_24561	IMEC4994_19882	IMEC4997_19848	IMEC6001_23672	IMEC6002_14118	IMEC6002_15287	IMEC6002_15288	IMEC6003_24564	IMEC6402_13873	IMEC6700_22656	IMEC6980_24565	IMEC6981_13876	IMEC6982_13877	IMEC6983_26908	IMEC6997_26909
1707241129	40	10	15	6	11	5	24	0	14	2	8	19	40	39	34	24	35	34	50	35	55	55	26	34	40	23	1	29	0	28	23	30	65	30	70	40	926	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	29	99	36	33	42	36	38	29	29	30	20	1	0	996	0	0	0	0	0	5	20	99	99	99	99	0
1707241147	40	10	15	6	11	4	23	0	14	1	7	19	40	39	34	24	35	34	50	35	55	55	26	34	40	22	1	29	0	28	22	30	65	30	70	40	926	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	26	99	36	31	41	35	38	29	27	29	20	1	0	993	0	0	0	0	0	5	20	99	99	99	99	0
1707241221	40	10	15	6	11	4	23	0	14	1	7	19	40	39	34	24	35	34	50	35	55	55	26	34	40	22	1	29	0	28	22	30	65	30	70	40	926	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	24	99	35	29	40	35	38	29	25	28	20	1	0	989	0	0	0	0	0	5	20	99	99	99	99	0
1707241307	40	10	15	5	12	4	23	0	14	1	7	19	40	39	34	24	35	34	50	35	55	55	26	34	40	22	1	29	0	28	22	30	65	30	70	40	925	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	998	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	24	99	34	29	39	34	38	29	25	28	19	1	0	988	0	0	0	0	0	5	20	99	99	99	99	0
1707241415	39	10	15	4	12	3	22	0	13	0	7	19	40	39	34	24	35	34	50	35	55	55	26	34	40	21	1	29	0	28	21	30	65	30	70	40	923	0	70	25	25	25	35	30	33	33	33	38	37	50	49	41	34	46	53	47	35	30	30	39	45	30	27	32	33	78	86	997	58	37	32	45	73	0	37	38	30	40	38	38	60	99	20	39	99	997	20	99	33	25	36	34	38	26	24	26	19	1	0	984	0	0	0	0	0	5	20	99	99	99	99	0
1707241512	39	10	15	4	12	3	22	0	13	0	7	19	39	37	33	22	35	33	50	34	55	55	25	34	39	21	1	29	0	28	21	30	62	28	67	38	917	0	66	22	25	24	31	29	31	31	32	34	37	46	49	40	31	43	52	47	33	28	30	39	41	29	24	32	31	77	85	982	57	36	32	44	71	0	35	38	30	39	37	38	57	99	19	39	99	993	16	99	33	23	35	35	37	24	24	25	19	1	0	977	0	0	0	0	0	4	20	98	99	99	97	0
1707241556	38	9	15	4	12	2	22	0	12	0	7	19	38	37	32	22	35	33	50	34	55	55	25	34	39	21	1	27	0	27	20	30	62	27	67	37	915	0	66	22	25	24	30	29	31	30	32	34	36	46	48	40	31	43	52	47	33	28	30	39	39	29	23	30	32	76	84	981	57	36	32	44	70	0	34	38	30	39	37	38	56	98	19	38	97	991	16	99	33	23	35	35	36	24	24	25	19	1	0	975	0	0	0	0	0	3	20	98	99	99	97	0
1707241623	38	9	15	4	12	2	22	0	12	0	7	19	38	37	32	22	35	33	50	34	55	55	25	34	39	21	1	27	0	27	20	30	62	27	67	37	915	0	66	22	25	24	30	29	31	30	32	34	36	46	48	40	31	43	52	47	33	28	30	39	39	29	23	30	32	76	84	981	56	35	32	44	70	0	34	38	28	39	37	36	55	95	19	37	97	988	16	99	33	22	35	35	36	24	24	25	19	1	0	972	0	0	0	0	0	3	20	98	99	99	97	0
1707241717	38	9	15	4	12	2	22	0	12	0	7	19	38	37	32	22	35	33	50	34	55	55	25	34	39	21	1	27	0	27	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	979	53	34	30	44	67	0	31	38	25	38	36	33	53	93	19	37	96	981	16	96	33	22	35	35	36	24	24	25	19	1	0	970	0	0	0	0	0	3	20	98	99	99	97	0
1707241814	38	9	15	4	12	2	22	0	12	0	7	19	38	37	32	22	35	33	50	34	55	55	25	34	39	22	1	26	0	27	20	30	62	27	67	37	915	0	66	22	25	24	29	29	31	30	31	34	36	46	48	40	31	43	52	47	33	28	30	39	38	29	22	30	32	76	84	979	53	34	30	44	67	0	31	38	24	37	35	32	53	92	19	37	96	981	15	96	33	21	35	35	36	23	24	25	19	1	0	969	0	0	0	0	0	3	20	98	99	99	97	0
