date	ECON1001B_10215	ECON1001B_16629	ECON1001B_26010	ECON1001C_12521	ECON1001C_12522	ECON1001C_12523	ECON1001C_16635	ECON1001C_16637	ECON1001C_18698	ECON1001C_26011	ECON1001C_26012	ECON1001C_26013	ECON1006_21542	ECON1006_23066	ECON1006_23069	ECON1006C_23221	ECON1006C_23229	ECON1006C_23230	ECON1006C_23231	ECON1110_26565	ECON1110_28086	ECON1110_28087	ECON1299_28607	ECON1300_10695	ECON1300_10854	ECON1301_11052	ECON1301_11097	ECON1303_13279	ECON1304_21166	ECON1501_10528	ECON1501_12591	ECON1502B_10020	ECON1502B_10187	ECON2101_10178	ECON2101_10249	ECON2101C_12525	ECON2101C_12526	ECON2101C_15069	ECON2101C_23602	ECON2101C_25787	ECON2102_10070	ECON2102_10188	ECON2102C_12326	ECON2102C_12527	ECON2102C_16737	ECON2102C_23607	ECON2102C_28556	ECON2104_10071	ECON2105_10204	ECON2105_25501	ECON2105C_15086	ECON2105C_15091	ECON2105C_15267	ECON2105C_15268	ECON2106_10199	ECON2106_10200	ECON2106_10201	ECON2106C_12281	ECON2106C_12529	ECON2106C_12530	ECON2106C_12531	ECON2106C_12532	ECON2106C_13174	ECON2106C_17115	ECON2106C_20534	ECON2106C_23340	ECON2107_10423	ECON2107_10431	ECON2107_10443	ECON2107_18607	ECON2107_28124	ECON2107C_12535	ECON2107C_12536	ECON2107C_12537	ECON2107C_12538	ECON2107C_12539	ECON2107C_12540	ECON2107C_12541	ECON2107C_12542	ECON2107C_12543	ECON2107C_18609	ECON2107C_18610	ECON2107C_18611	ECON2107C_28127	ECON2107C_28128	ECON2107C_28130	ECON2201_10098	ECON2201_10101	ECON2201C_12327	ECON2201C_12546	ECON2201C_12547	ECON2201C_12548	ECON2202_10189	ECON2202_23133	ECON2202C_12328	ECON2202C_12553	ECON2202C_12554	ECON2202C_26144	ECON2203_10621	ECON2203_10731	ECON2203_20540	ECON2203_23143	ECON2203C_12329	ECON2203C_12556	ECON2203C_12557	ECON2203C_12558	ECON2203C_12561	ECON2203C_12562	ECON2203C_17114	ECON2203C_17116	ECON2203C_18618	ECON2203C_20541	ECON2203C_21223	ECON2203C_23144	ECON2204_10448	ECON2204C_12563	ECON2204C_12565	ECON2301_10105	ECON2301_10106	ECON2301C_12330	ECON2301C_12567	ECON2301C_12568	ECON2301C_23158	ECON2501B_15497	ECON2901B_24066	ECON3301_10219	ECON3301_10255	ECON3301C_12331	ECON3301C_12570	ECON3301C_12572	ECON3301C_25608	ECON3401_10183	ECON3501_10022	ECON3501_10539	ECON3502_10108	ECON3502_10109	ECON3502_1109	ECON3504_26568	ECON3602_10667	ECON3602_13752	ECON3602_18642	ECON3609_10024	ECON3620_26570	ECON3665_10567	ECON3672_26575	ECON3704_12669	ECON3707_26577	ECON3708_26578	ECON3714_24101	ECON3722_28605	ECON3724_26581	ECON3730_13278	ECON3737_26584	ECON3739_28343	ECON3740_14248	ECON3744_26587	ECON3747_21592	ECON3756_26591	ECON3760_26593	ECON3762_28606	ECON3763_28618	ECON3764_28619	ECON3991_10212	ECON3992_10213	ECON4112_26594	ECON4112C_26595	ECON4112C_27935	ECON4212_26596	ECON4212C_26597	ECON4212C_27954	ECON4301_10627	ECON4301_14072	ECON4301C_12285	ECON4301C_12745	ECON4301C_14073	ECON4301C_14074	ECON4568_14536	ECON4568_15045	ECON4568C_15072	ECON4568C_15077	ECON4568C_15079	ECON4568C_15080	ECON4600_11155	ECON4600_11270	ECON4600_11406	ECON4600_27969	ECON4603_10018	ECON4643_11170	ECON4644_28248	ECON4653_26599	ECON4655_26600	ECON4659_16366	ECON4659_25440	ECON4659C_16367	ECON4659C_16879	ECON4659C_16880	ECON4659C_16881	ECON4660_26601	ECON4661_26602	ECON4662_28247	ECON4800_11511	ECON6104_26604	ECON6104C_26605	ECON6201_26606	ECON6201C_26607	ECON6301_26608	ECON6301C_26609	ECON6401_26610	ECON6621_26611	ECON6622_19292	ECON6622_26205	ECON6970_26612	ECON6971_26613	ECON6972_26614	ECON6973_26615	ECON6980_12286	ECON6981_12031	ECON6982_12184	ECON6983_20789	ECON6984_23190	ECON6985_13058	ECON6986_13454	ECON6987_23191	ECON6988_14540	ECON6989_23261	ECON6990_13302	ECON6997_11512
1707241129	34	55	15	14	1	11	3	23	25	0	12	6	0	11	0	7	0	0	2	18	11	8	30	29	30	30	30	30	30	42	13	71	72	63	64	22	20	32	22	30	59	57	30	29	17	20	20	39	59	59	29	30	30	29	80	80	80	26	28	27	27	26	27	26	27	26	38	50	60	63	13	17	17	4	17	24	22	18	12	20	21	24	15	0	0	13	56	56	27	29	27	29	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	56	58	26	30	28	30	39	54	53	60	27	26	30	30	36	59	59	60	60	0	21	25	25	25	21	29	21	28	39	39	20	39	19	21	23	24	24	22	24	23	39	39	18	28	30	99	99	34	17	17	28	14	14	21	22	11	10	11	11	0	0	0	0	0	0	0	0	0	0	0	20	23	20	25	0	0	0	0	0	0	20	20	18	0	8	8	8	8	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241147	33	56	14	14	1	10	3	24	25	0	12	5	0	11	0	7	0	0	2	18	11	8	30	29	30	30	30	30	29	42	13	71	72	63	64	22	20	32	22	30	57	57	29	28	17	20	20	39	57	57	28	29	29	28	80	80	80	26	28	27	27	26	27	26	27	26	38	50	60	63	12	17	17	4	17	24	22	18	12	20	21	24	15	0	0	12	54	54	26	28	26	28	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	50	25	25	56	58	26	30	28	30	39	54	53	60	27	26	30	30	36	59	59	60	60	0	21	25	25	25	21	29	21	28	39	39	20	39	19	21	23	24	24	22	24	23	39	39	18	28	30	99	99	34	17	17	25	11	14	21	21	11	10	10	11	0	0	0	0	0	0	0	0	0	0	0	19	20	20	25	0	0	0	0	0	0	20	20	18	0	7	7	7	7	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241221	33	57	12	14	1	10	4	24	25	0	11	4	0	11	0	6	0	1	2	18	11	9	30	29	30	30	30	30	29	43	12	71	72	63	64	22	20	32	22	30	57	57	29	28	17	20	20	39	57	57	28	29	29	28	80	80	80	26	28	27	27	26	27	26	27	26	39	50	60	63	11	18	17	4	17	24	22	18	12	20	21	24	15	0	0	11	54	54	26	28	26	28	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	40	20	20	50	52	21	25	23	25	39	55	50	50	25	25	25	25	36	59	58	60	60	0	21	15	15	15	19	29	19	28	39	39	20	39	19	19	23	24	24	18	21	23	39	39	23	28	29	99	99	34	17	17	24	11	13	21	20	11	10	9	11	0	0	0	0	0	0	0	0	0	0	0	18	19	20	25	0	0	0	0	0	0	20	19	18	0	7	7	7	7	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241307	33	57	12	14	1	10	4	24	25	0	11	4	0	11	0	6	1	0	2	18	11	9	30	29	30	30	30	30	29	43	12	71	72	63	64	22	20	32	22	30	57	57	29	28	17	20	20	39	57	57	28	29	29	28	80	80	80	26	28	27	27	26	27	26	27	26	39	50	60	63	11	18	17	4	17	24	22	18	12	20	21	24	15	0	0	11	54	54	26	28	26	28	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	40	20	20	50	52	21	25	23	25	39	55	50	50	25	25	25	25	36	59	58	60	60	0	21	15	15	15	19	29	19	28	39	39	20	39	19	19	23	24	24	18	21	23	39	39	23	28	29	99	99	34	17	17	24	11	13	21	20	11	10	9	11	0	0	0	0	0	0	0	0	0	0	0	18	19	20	25	0	0	0	0	0	0	20	19	17	0	7	7	7	7	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241415	33	57	12	14	1	10	4	24	25	0	11	4	0	11	0	6	1	0	2	18	11	9	30	29	30	30	30	30	29	43	12	71	71	63	64	22	20	32	22	30	57	57	29	28	17	20	20	39	57	57	28	29	29	28	80	80	80	26	28	27	27	26	27	26	27	26	39	50	60	63	11	18	17	4	17	24	22	18	12	20	21	24	15	0	0	11	54	54	26	28	26	28	60	57	30	27	30	30	77	76	77	76	26	26	25	26	25	25	26	25	26	26	25	25	40	20	20	50	52	21	25	23	25	38	55	50	50	25	25	25	25	36	59	58	60	60	0	21	15	15	15	19	29	19	28	39	39	20	39	19	19	23	24	24	18	21	23	39	39	23	28	29	99	99	32	16	16	22	9	13	20	20	11	9	9	11	0	0	0	0	0	0	0	0	0	0	0	17	18	20	25	0	0	0	0	0	0	20	19	16	0	7	7	7	7	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241512	33	57	12	14	1	10	4	24	25	0	11	4	0	11	0	6	1	0	2	18	11	9	29	29	30	30	29	30	29	40	12	71	66	58	64	22	20	29	22	28	55	55	28	27	16	19	20	39	57	55	28	29	29	26	79	78	80	25	28	25	27	26	27	26	27	26	38	48	60	62	9	18	16	4	17	23	22	18	11	19	21	24	15	0	0	9	54	49	26	28	24	25	60	55	30	27	28	30	75	73	76	74	26	25	24	26	24	24	26	24	25	26	24	24	39	20	19	50	50	21	25	23	23	37	51	48	49	24	24	25	24	34	59	54	56	59	0	20	14	15	15	19	29	18	27	38	39	20	38	19	19	23	24	24	17	21	22	39	38	23	28	28	99	99	22	11	11	8	0	8	15	13	9	6	5	8	-1	-2	0	-1	-2	0	0	0	0	0	0	12	8	16	24	0	-1	0	0	-1	0	19	18	12	0	7	7	7	7	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241556	33	57	11	14	1	10	4	24	25	0	11	3	0	11	0	6	1	0	2	18	11	9	29	29	30	30	29	28	27	40	12	70	66	56	64	22	20	29	22	26	55	55	28	27	16	19	20	39	57	54	28	29	29	25	78	77	80	24	28	25	27	26	27	25	27	26	38	48	60	62	9	18	16	4	17	23	22	18	11	19	21	24	15	0	0	9	54	49	26	28	24	25	60	53	30	27	26	30	71	72	75	74	26	21	24	25	24	24	26	24	24	26	24	24	39	20	19	50	50	21	25	23	23	37	49	48	49	24	24	25	24	33	58	53	54	59	0	20	12	13	15	18	29	15	27	38	39	20	38	19	19	21	24	24	16	18	22	39	38	23	28	27	97	99	21	11	10	3	0	3	12	10	8	4	3	7	-1	-2	0	-1	-2	0	0	0	0	0	0	8	5	16	24	0	-1	0	0	-1	0	18	16	12	0	7	7	7	7	8	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241623	32	57	10	14	0	10	4	24	25	0	10	3	0	10	0	5	1	0	2	18	11	9	28	28	30	28	27	27	26	40	12	70	66	56	64	22	20	29	22	26	55	55	28	27	16	19	20	37	57	53	28	29	29	24	78	77	80	24	28	25	27	26	27	25	27	26	38	48	60	62	9	18	16	4	17	23	22	18	11	19	21	24	15	0	0	9	54	47	26	28	23	24	58	51	29	26	25	29	68	72	74	73	26	18	23	25	24	24	26	24	24	25	24	24	39	20	19	50	50	21	25	23	23	37	48	46	48	23	23	25	23	33	55	52	52	59	0	20	9	8	13	17	29	12	26	37	39	20	37	18	17	20	24	24	16	18	22	39	38	23	26	27	95	99	19	9	10	4	1	3	10	7	8	2	0	7	-1	-2	0	-1	-2	0	0	0	0	0	0	6	2	15	24	0	-2	0	0	-1	-1	18	14	8	0	6	6	7	7	7	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241717	32	57	10	14	0	10	4	24	25	0	10	3	0	10	0	5	1	0	2	18	11	9	27	28	29	26	27	26	26	40	12	70	65	55	64	22	20	29	22	25	55	55	28	27	16	19	20	36	56	50	28	28	28	22	78	77	80	24	28	25	27	26	27	25	27	26	38	48	58	62	8	18	16	4	17	23	22	18	11	19	20	23	15	0	0	8	53	47	26	27	23	24	56	49	28	26	23	28	67	72	73	71	26	18	23	25	24	24	25	23	24	24	23	24	37	19	18	49	50	20	25	23	23	37	48	44	48	21	23	25	23	33	52	49	48	56	0	20	6	1	10	16	26	6	26	37	39	20	37	18	16	16	23	24	14	15	21	39	38	22	26	27	95	99	17	7	10	4	2	2	7	7	6	1	0	7	-1	-2	0	-1	-2	0	0	0	0	0	0	4	1	14	24	0	-3	0	0	-2	-1	17	13	7	0	6	6	7	7	7	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1707241814	32	57	10	14	0	10	4	24	25	0	10	3	0	10	0	5	1	0	2	18	11	9	27	28	29	26	27	26	26	40	12	70	65	55	64	22	20	29	22	25	55	55	28	27	16	19	20	36	56	50	28	28	28	22	78	77	80	24	28	25	27	26	27	25	27	26	38	48	58	62	8	18	16	4	17	23	22	18	11	19	20	23	15	0	0	8	53	47	26	27	23	24	56	49	28	26	23	28	67	72	73	71	26	18	23	25	24	24	25	23	24	24	23	24	37	19	18	49	50	20	25	23	23	37	47	44	48	21	23	25	23	33	52	49	48	56	0	20	6	0	10	16	26	6	26	37	39	20	37	18	16	17	23	24	13	15	21	39	38	22	26	27	95	99	17	7	10	1	1	0	6	7	6	0	0	7	-1	-2	0	-1	-2	0	0	0	0	0	0	3	4	14	24	-1	-3	-1	0	-2	-1	17	11	6	0	6	6	7	7	7	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
