date	BIOL0000_20371	BIOL1300_13204	BIOL1300_19081	BIOL1300C_12596	BIOL1300C_12597	BIOL1300C_13209	BIOL1301_10159	BIOL1301_10415	BIOL1301_10516	BIOL1301_10732	BIOL1301_11060	BIOL1301_11937	BIOL1301_14784	BIOL1303_13559	BIOL1312_10416	BIOL1313_10417	BIOL1313_11283	BIOL1313_11936	BIOL1313_13003	BIOL1324A_13561	BIOL1325B_22825	BIOL1326A_12241	BIOL1327_11297	BIOL1327_11367	BIOL1327_11368	BIOL1327_11369	BIOL1327_11370	BIOL1327_13007	BIOL1327_13694	BIOL1327C_12457	BIOL1327C_12600	BIOL1327C_12601	BIOL1327C_12602	BIOL1327C_12604	BIOL1327C_12605	BIOL1327C_12606	BIOL1327C_12607	BIOL1327C_13308	BIOL1328B_28200	BIOL2202_27524	BIOL2203_27525	BIOL2203_27526	BIOL2203_27527	BIOL2203_27528	BIOL2302_12080	BIOL2303_13334	BIOL2303_27530	BIOL2304_27532	BIOL2305_27534	BIOL2305_27537	BIOL2305_27539	BIOL2308_10163	BIOL2309_10165	BIOL2309_27547	BIOL3300_27544	BIOL3301_27545	BIOL3301_27546	BIOL3304_27548	BIOL3305_27549	BIOL3305_27551	BIOL3305_27552	BIOL3308_27553	BIOL3309_27555	BIOL3309_27556	BIOL3310_27557	BIOL3311_27558	BIOL3312_28570	BIOL3313_28543	BIOL3326_28061	BIOL3327_28062	BIOL3330_27564	BIOL3339_27565	BIOL3340_27568	BIOL3341_27569	BIOL3341_27571	BIOL3906_11190	BIOL3907_12244	BIOL3911_11525	BIOL3912_11526	BIOL3991_11527	BIOL3992_28655	BIOL3995_13692
1707241307	22	67	68	48	53	44	23	21	21	18	27	18	21	9	61	0	14	20	23	45	71	41	76	53	41	50	59	78	78	39	30	47	40	50	19	54	38	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	20	24	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241415	22	67	68	48	53	44	23	21	21	18	27	18	21	9	60	0	14	19	23	44	71	41	76	53	40	50	58	77	78	38	30	47	40	50	18	54	37	63	77	100	32	32	32	24	70	32	24	80	28	28	24	50	25	25	60	32	24	75	24	25	25	40	24	0	30	30	19	23	30	30	20	20	20	10	10	20	20	20	49	20	0	0
1707241512	22	66	68	48	53	43	22	21	21	18	27	18	21	9	58	0	12	19	23	42	70	40	76	52	39	50	58	76	78	38	30	47	39	50	16	54	38	62	74	98	31	32	31	24	66	28	24	79	28	27	24	49	24	25	60	32	24	75	24	25	25	39	24	-1	30	30	19	23	28	28	19	19	20	10	10	19	20	20	49	20	0	0
1707241556	22	65	68	47	53	43	19	21	20	18	27	18	21	8	57	0	12	19	22	42	70	40	75	50	39	47	58	76	78	37	30	47	37	49	15	54	37	62	73	96	29	32	31	24	65	28	24	76	26	26	24	49	24	25	58	30	24	72	23	24	24	39	24	-1	30	30	19	23	27	27	18	18	20	10	10	18	20	20	48	20	0	0
1707241623	22	64	68	47	52	43	19	21	19	18	27	18	21	6	57	0	13	19	21	42	70	39	74	50	39	47	58	76	78	37	29	47	37	49	15	54	37	62	72	93	27	32	30	24	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	37	22	-1	30	30	18	22	27	27	18	18	20	10	10	16	20	20	48	20	0	0
1707241717	22	64	68	47	52	43	19	21	19	18	27	18	21	6	57	0	13	19	21	40	70	38	74	50	39	45	57	76	78	37	26	47	37	49	15	54	37	62	72	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	37	22	-1	30	30	18	22	27	27	18	18	20	10	10	16	19	20	48	20	0	0
1707241814	22	64	68	47	52	43	18	21	19	18	27	18	21	6	57	0	13	19	21	40	70	38	74	49	39	45	56	76	78	37	24	47	37	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	37	22	-1	30	30	18	22	27	27	18	18	20	10	10	16	19	20	48	20	0	0
1707241848	22	64	67	46	52	43	17	21	19	18	27	18	21	6	57	0	13	19	21	40	70	38	74	49	39	45	56	76	78	37	24	47	37	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	37	22	-1	30	30	18	22	27	27	18	18	20	10	10	15	19	20	48	20	0	0
1707242034	22	64	67	47	53	41	18	21	19	18	27	18	21	6	57	0	13	19	21	40	70	37	73	49	39	44	57	76	78	37	25	46	36	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	36	21	-1	30	30	18	22	27	27	18	18	20	10	10	15	18	20	48	20	0	0
1707242132	22	64	67	47	53	41	18	21	19	18	27	18	21	6	57	0	13	19	21	40	69	37	73	49	39	44	57	76	78	37	25	46	36	49	16	54	36	62	71	88	25	32	30	22	65	28	24	76	26	26	24	48	24	24	58	30	24	70	23	22	24	36	21	-1	30	30	18	22	27	27	18	18	20	10	10	15	17	20	48	20	0	0
