date	DECA1001_28120	DECA1001_28121	DECA1001_28167	DECA1001_28170	DECA1001_28172	DECA1001_28173	DECA1001_28175	DECA1001_28176	DECA1001_28180	DECA1001_28183	DECA1001_28187	DECA1001_28188	DECA1001_28189	DECA1001_28192	DECA1001_28193	DECA1001_28195	DECA1001_28196	DECA1101_16752	DECA1101_16756	DECA1101_16762	DECA1101_16772	DECA1101_167772	DECA1102_16773	DECA1103_16774
1707261709	17	5	17	23	22	18	26	15	25	19	13	22	20	22	9	10	8	0	0	0	0	0	8	10
1707261733	17	5	17	23	22	18	26	15	25	19	13	22	20	22	9	10	8	0	0	0	0	0	8	10
1707261807	17	5	17	23	22	18	26	15	25	19	13	22	20	22	9	10	8	0	0	0	0	0	8	10
1707261822	17	5	17	23	22	18	26	15	25	19	13	22	20	22	9	10	8	0	0	0	0	0	8	10
1707261842	17	5	17	23	22	18	26	15	25	19	13	22	20	22	9	10	8	0	0	0	0	0	8	10
1707261903	17	5	17	23	22	18	26	15	25	19	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707261944	17	5	17	23	22	18	26	15	25	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707262004	17	5	17	23	22	18	26	15	25	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707262107	17	5	17	23	22	18	26	15	25	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707262125	17	5	17	23	22	18	26	15	25	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707262142	17	5	17	23	22	18	26	15	25	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707262337	17	5	17	23	22	16	26	15	24	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707270001	17	5	16	23	22	16	26	15	24	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707270737	17	5	16	23	22	16	26	15	24	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707270816	17	5	16	23	22	16	26	15	24	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707270840	17	5	16	23	22	16	26	15	24	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707270903	17	5	16	23	22	16	26	15	24	18	13	22	20	22	9	10	7	0	0	0	0	0	8	10
1707271009	16	5	16	23	22	16	26	15	24	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271027	16	5	16	23	22	16	26	15	24	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271053	16	5	16	23	22	16	26	15	24	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271136	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271218	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271250	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271309	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271338	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271422	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271448	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271510	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271544	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271643	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271704	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271720	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707271802	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707272002	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707272150	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707272237	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707281100	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707281233	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707281457	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707281621	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
1707281911	16	5	16	23	22	16	26	15	25	18	13	22	19	22	9	10	7	0	0	0	0	0	8	10
