date	GTEL5402_24274
1707240824	20
1707240905	20
1707240930	20
1707240941	20
1707241000	20
1707241012	20
1707241023	20
1707241039	20
1707241047	20
1707241055	20
1707241129	20
1707241147	20
1707241221	20
1707241307	20
1707241415	20
1707241512	20
1707241556	20
1707241623	20
1707241717	20
1707241814	20
1707241848	20
1707242034	20
1707242132	20
1707242210	20
1707242307	20
1707242329	20
1707242343	20
1707250748	20
1707251027	20
1707251309	20
1707251351	20
1707251441	20
1707251521	20
1707251605	20
1707251658	20
1707251727	20
1707251900	20
1707251927	20
1707252025	20
1707252100	20
1707252124	20
1707252143	20
1707252259	20
1707252332	20
1707260820	20
1707261009	20
1707261047	20
1707261116	20
1707261144	20
1707261213	20
1707261257	20
1707261315	20
1707261354	20
1707261538	20
1707261603	20
1707261646	20
1707261709	20
1707261733	20
1707261807	20
1707261822	20
1707261842	20
1707261903	20
1707261944	20
1707262004	20
1707262107	20
1707262125	20
1707262142	20
1707262337	20
1707270001	20
1707270737	20
1707270816	20
1707270840	20
1707270903	20
1707271009	20
1707271027	20
1707271053	20
1707271136	20
1707271218	20
1707271250	20
1707271309	20
1707271338	20
1707271422	20
1707271448	20
1707271510	20
1707271544	20
1707271643	20
1707271704	20
1707271720	20
1707271802	20
1707272002	20
1707272150	20
1707272237	20
1707281100	20
1707281233	20
1707281457	20
1707281621	20
1707281911	20
