date	EGOB1100B_22952	EGOB1100B_28114	EGOB1101B_28099	EGOB1104_28284	EGOB1105_24179	EGOB1106_25409	EGOB1112B_14552	EGOB1112B_22879	EGOB1201B_28102	EGOB1209B_17701	EGOB1209B_20937	EGOB1209B_20939	EGOB1211B_28207	EGOB1500_17235	EGOB2100_28211	EGOB2101_24181	EGOB2101C_24182	EGOB2103_28259	EGOB2104_28260	EGOB3007_28263	EGOB3009_28264	EGOB3019_18848	EGOB3020_18849	EGOB3021_18850	EGOB3023_23600	EGOB3112_25578	EGOB3115_28265	EGOB3506_26664	EGOB3510_28268	EGOB3511_28269	EGOB3513_26671	EGOB3901_21665	EGOB4003_15215	EGOB4004_24188	EGOB4100_13062	EGOB4103_24189	EGOB4104_13064	EGOB4105_28270	EGOB4106_28271	EGOB4107_28272	EGOB4109_13574	EGOB4110_10994	EGOB4112_15573	EGOB4112_26049	EGOB4112_26050	EGOB4112_26051	EGOB4112_26052	EGOB4112_26053	EGOB4112_26108	EGOB4112_26158	EGOB4113_11118	EGOB4115_13415	EGOB4119_28273	EGOB4122_21669	EGOB4211_23529	EGOB4803_28274	EGOB4804_28275	EGOB4808_28363	EGOB4818_26193	EGOB4820_28276	EGOB4821_28277	EGOB4822_28684
1707241814	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	22	30	38	20	23	0	23	16	0	-1	-1	-2	-1	0	0	0	12	1	28	5	0	27	32	13	0	0	17	0
1707241848	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	22	30	38	20	23	0	23	16	0	-1	-1	-2	-1	0	0	0	12	1	28	5	0	27	32	13	0	0	17	0
1707242034	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	21	30	37	20	23	0	22	16	0	-1	-1	-2	-1	0	0	0	12	1	28	5	0	27	32	13	0	0	17	0
1707242132	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	20	29	36	20	22	0	22	16	0	-1	-1	-2	-1	0	0	0	12	1	27	5	0	27	32	13	0	0	17	0
1707242210	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	20	29	36	20	22	0	22	16	0	-1	-1	-2	-1	0	0	0	12	1	27	5	0	27	32	13	0	0	17	0
1707242307	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	19	28	36	20	21	0	21	16	0	-1	-1	-2	-1	0	0	0	12	1	27	5	0	26	32	13	0	0	17	0
1707242329	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	19	28	36	20	21	0	21	16	0	-1	-1	-2	-1	0	0	0	12	1	27	5	0	26	32	13	0	0	17	0
1707242343	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	19	28	36	20	21	0	21	16	0	-1	-1	-2	-1	0	0	0	12	1	27	5	0	26	32	13	0	0	17	0
1707250748	45	79	84	63	69	66	26	59	73	34	39	41	55	0	52	29	29	42	42	19	25	0	0	0	0	12	38	30	30	0	20	0	0	0	19	28	36	20	21	0	21	16	0	-1	-1	-2	-1	0	0	0	12	1	27	5	0	26	32	13	0	0	17	0
1707251027	44	79	78	57	68	66	23	59	73	31	39	39	51	0	45	28	28	38	41	18	24	0	0	0	0	9	35	29	30	0	20	0	0	0	16	25	34	20	20	0	19	16	0	-1	-1	-2	-1	0	0	0	11	0	26	5	0	25	30	12	0	0	16	0
