date	MFIN4000_27108	MFIN4000_27397	MFIN4200_27408	MFIN4200_27409	MFIN4205_27412	MFIN4205_27413	MFIN4208_28333	MFIN4208_28334	MFIN4213_27410	MFIN4213_27411	MFIN4218_27116	MFIN4220_27117	MFIN4246_27119	MFIN4251_27475	MFIN4251_27479	MFIN4252_28133	MFIN4252_28305	MFIN4253_28330	MFIN4253_28331	MFIN4254_28634	MFIN4254_28635	MFIN4900_27414	MFIN4900_27415	MFIN4900_27416
1707261354	-2	-7	4	-1	6	0	-1	0	-2	4	5	3	3	4	2	-2	-2	-3	2	-4	-5	0	0	3
1707261538	-2	-7	4	-1	6	0	-1	0	-2	4	5	3	3	4	2	-2	-2	-3	2	-4	-5	0	0	3
1707261603	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261646	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261709	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261733	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261807	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261822	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261842	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261903	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707261944	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707262004	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
1707262107	-2	-7	4	-1	6	0	-1	0	-2	3	5	3	3	4	2	-2	-2	-3	2	-5	-5	0	0	3
