date	GEOC0000_21006	GEOC0001_21007	GEOC1002_14987	GEOC1002_14989	GEOC1002_15011	GEOC1002_15012	GEOC1002_15013	GEOC1022_11533	GEOC1023_18727	GEOC1023_18728	GEOC1312B_26715	GEOC1416B_26716	GEOC1611B_26717	GEOC2040_26718	GEOC2041_26719	GEOC2041_28135	GEOC2041_28139	GEOC2041_28140	GEOC2041_28143	GEOC2048_26720	GEOC2049_26721	GEOC2049_28147	GEOC2049_28155	GEOC2049_28158	GEOC2057_24261	GEOC3018_26722	GEOC3019_26723	GEOC3019_28159	GEOC3019_28160	GEOC3019_28161	GEOC3019_28219	GEOC3019_28220	GEOC3019_28221	GEOC3019_28222	GEOC3028_26724	GEOC3029_26725	GEOC3029_28163	GEOC3029_28164	GEOC3029_28165	GEOC3029_28166	GEOC3029_28223	GEOC3029_28224	GEOC3029_28225	GEOC3029_28226	GEOC3029_28227	GEOC3050_23531	GEOC3057_26726	GEOC3098_26727	GEOC3099_15209	GEOC3302_26728	GEOC3401_26729	GEOC3601_26730	GEOC3602_26731	GEOC3602_28174	GEOC3991_23653
1707242132	20	0	72	68	67	57	73	28	14	14	84	81	80	78	13	15	15	15	15	68	15	15	14	14	50	69	0	0	0	0	12	11	12	12	76	0	0	0	0	0	10	11	12	12	11	49	54	0	-1	28	29	27	14	13	0
1707242210	20	0	72	68	67	57	73	28	14	14	84	81	80	78	13	15	15	15	15	68	15	15	14	14	50	69	0	0	0	0	12	11	12	12	76	0	0	0	0	0	10	11	12	12	11	49	54	0	-1	28	29	27	14	13	0
1707242307	20	0	72	68	67	57	73	28	14	14	84	81	80	78	13	15	15	15	15	68	15	15	14	14	50	69	0	0	0	0	12	11	12	12	76	0	0	0	0	0	10	11	12	12	11	49	54	0	-1	28	29	27	14	13	0
1707242329	20	0	72	68	67	57	73	28	14	14	84	81	80	78	13	15	15	15	15	68	15	15	14	14	50	69	0	0	0	0	12	11	12	12	76	0	0	0	0	0	10	11	12	12	11	49	54	0	-1	28	29	27	14	13	0
1707242343	20	0	72	68	67	57	73	28	14	14	84	81	80	78	13	15	15	15	15	68	15	15	14	14	50	69	0	0	0	0	12	11	12	12	76	0	0	0	0	0	10	11	12	12	11	49	54	0	-1	28	29	27	14	13	0
1707250748	20	0	72	68	67	57	73	28	14	14	84	81	80	78	13	15	15	15	15	68	15	15	14	14	50	69	0	0	0	0	12	11	12	12	76	0	0	0	0	0	10	11	12	12	11	49	54	0	-1	28	29	27	14	13	0
1707251027	20	0	73	57	64	55	72	28	14	14	82	81	80	77	12	15	15	15	15	66	15	15	14	12	50	65	0	0	0	0	10	10	11	12	74	0	0	0	0	0	9	11	12	11	11	47	43	0	-1	25	26	22	10	12	0
1707251309	20	0	68	46	50	53	70	28	14	14	81	79	77	76	13	15	15	14	15	66	15	15	14	12	47	61	0	0	0	0	10	6	10	12	72	0	0	0	0	0	8	11	11	11	11	44	38	0	-1	24	22	16	5	11	0
1707251351	20	0	68	46	50	53	70	28	14	14	81	79	77	76	13	15	15	14	15	66	15	15	14	12	47	61	0	0	0	0	10	6	10	12	72	0	0	0	0	0	8	11	11	11	11	44	38	0	-1	24	22	16	5	11	0
1707251441	20	0	66	35	45	48	70	28	14	14	81	78	77	76	13	15	15	14	15	66	15	14	14	12	36	50	0	0	0	0	3	3	9	12	63	0	0	0	0	0	6	10	10	7	11	43	35	0	-1	22	19	13	4	9	0
1707251521	20	0	66	27	38	44	68	28	14	14	79	78	76	75	13	15	15	14	15	65	15	14	14	11	29	39	0	0	0	0	1	1	3	12	49	0	0	0	0	0	4	5	5	6	10	43	32	0	-1	22	19	12	4	8	0
1707251605	20	0	66	23	34	42	67	28	14	14	77	76	75	73	13	15	15	13	15	65	15	14	14	11	25	38	0	0	0	0	0	1	3	12	37	0	0	0	0	0	2	5	2	2	7	43	32	0	-1	22	19	12	4	8	0
1707251658	20	0	66	21	23	39	67	28	14	14	77	74	72	72	13	14	15	13	15	64	15	14	14	10	24	38	0	0	0	0	0	1	3	12	25	0	0	0	0	0	1	4	0	0	1	43	32	0	-1	22	18	12	4	8	0
1707251727	20	0	66	21	22	38	67	28	14	14	77	74	71	72	13	14	15	13	15	64	15	14	14	10	24	38	0	0	0	0	0	1	3	12	25	0	0	0	0	0	1	4	0	0	1	43	32	0	-1	22	18	12	4	8	0
1707251900	20	0	66	21	21	38	67	28	14	14	76	74	71	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	4	0	0	1	43	32	0	-5	22	18	12	4	8	0
1707251927	20	0	66	22	21	38	67	28	14	14	76	74	71	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	4	0	0	1	43	32	0	-5	22	18	12	4	8	0
1707252025	20	0	66	22	21	39	67	28	14	14	75	74	71	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	3	0	0	2	43	32	0	-5	22	18	12	4	8	0
1707252100	20	0	66	22	21	39	67	28	14	14	75	74	72	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	3	0	0	2	43	32	0	-5	22	18	12	4	8	0
1707252124	20	0	66	22	21	39	67	28	14	14	75	74	72	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	3	0	0	2	43	32	0	-5	22	18	12	4	8	0
1707252143	20	0	66	22	21	39	67	28	14	14	75	74	72	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	3	0	0	2	43	32	0	-5	22	18	12	4	8	0
1707252259	20	0	67	22	21	39	68	28	14	14	75	74	72	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	3	0	0	2	43	32	0	-5	22	18	12	4	8	0
1707252332	20	0	67	21	22	39	68	28	14	14	75	73	72	72	13	14	15	13	15	64	15	14	14	10	24	37	0	0	0	0	-1	1	3	12	25	0	0	0	0	0	0	3	0	0	2	43	32	0	-5	22	18	12	4	8	0
1707260820	20	0	66	18	17	35	68	28	14	14	75	73	70	70	13	13	15	13	15	61	15	13	12	10	24	37	0	0	0	0	-1	1	3	12	21	0	0	0	0	0	0	1	0	0	0	43	32	0	-5	22	18	12	4	8	0
1707261009	20	0	66	0	6	12	68	26	12	14	73	71	66	49	8	5	10	13	15	47	15	12	2	7	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	32	0	-5	22	16	12	4	8	0
1707261047	20	0	65	0	4	11	67	26	12	14	70	71	64	39	5	2	10	9	15	38	13	11	0	3	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	29	0	-7	22	16	12	4	8	0
1707261116	20	0	62	0	2	10	66	26	12	14	70	69	62	34	6	0	5	9	15	33	10	9	1	1	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
1707261144	20	0	62	0	0	7	66	23	11	12	70	69	61	27	4	0	4	6	14	28	9	6	1	0	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
1707261213	19	0	62	0	0	6	66	23	11	12	70	68	57	26	3	0	4	6	14	26	8	6	0	0	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
1707261257	19	0	62	0	0	6	66	23	11	12	70	68	54	26	3	0	4	6	14	25	7	6	0	0	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
1707261315	19	0	61	0	0	5	66	23	11	12	70	68	54	25	3	0	4	6	13	24	6	6	0	0	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
1707261354	19	0	61	0	1	5	66	23	11	12	70	68	54	25	3	0	4	6	13	24	6	6	0	0	23	37	0	0	0	0	-1	1	3	12	20	0	0	0	0	0	0	0	0	0	0	43	26	-1	-11	22	16	12	4	8	0
