date	ADMI1101_10126	ADMI1102_11411	ADMI1102_25454	ADMI1102_25458	ADMI1102_25791	ADMI1190_20646	ADMI1190_23025	ADMI1190_27847	ADMI1203_10131	ADMI1203_11123	ADMI1203_12118	ADMI1203_20816	ADMI1401_11017	ADMI1401_11019	ADMI1401_11021	ADMI1401_11022	ADMI1401_12174	ADMI1401_13124	ADMI1401_13125	ADMI1590_17185	ADMI1590_20917	ADMI1590_23194	ADMI1590_23195	ADMI1602_11013	ADMI1602_11014	ADMI1602_11015	ADMI1602_13920	ADMI1602_17132	ADMI1602_18587	ADMI1602_20817	ADMI1602_28720	ADMI1603_10133	ADMI1603_10134	ADMI1603_23026	ADMI1603_23082	ADMI1603_27876	ADMI2104B_11547	ADMI2104B_13121	ADMI2104B_21174	ADMI2104B_25486	ADMI2106_10135	ADMI2106_10637	ADMI2106_11216	ADMI2107_10427	ADMI2107_10502	ADMI2204_11425	ADMI2204_18596	ADMI2204_25488	ADMI2205_10138	ADMI2205_11426	ADMI2206_14896	ADMI2207_12119	ADMI2207_13554	ADMI2207_14899	ADMI2207_23649	ADMI2301_10139	ADMI2301_10665	ADMI2301_13266	ADMI2301_13604	ADMI2301_18597	ADMI2301_25473	ADMI2302_10140	ADMI2302_10180	ADMI2302_20900	ADMI2403_11122	ADMI2403_13207	ADMI2403_13556	ADMI2501_20826	ADMI2501_20827	ADMI2501_23161	ADMI2501_28711	ADMI2556_23711	ADMI2556_27904	ADMI2557_20657	ADMI2557_20856	ADMI2557_20858	ADMI2605_14023	ADMI2605_14031	ADMI2605_14032	ADMI2605_14085	ADMI2605_23646	ADMI2605_27948	ADMI2801_10142	ADMI2801_13011	ADMI2801_13746	ADMI3107_28075	ADMI3107_28076	ADMI3109_13122	ADMI3110_10837	ADMI3110_10859	ADMI3110_12462	ADMI3110_13560	ADMI3110_14951	ADMI3110_23164	ADMI3122_10144	ADMI3122_13557	ADMI3122_13924	ADMI3122_18608	ADMI3128B_23712	ADMI3133B_13228	ADMI3137_14504	ADMI3138_25265	ADMI3200_10861	ADMI3200_13761	ADMI3200_13762	ADMI3200_27968	ADMI3205_11998	ADMI3207_10145	ADMI3210_21320	ADMI3210_25993	ADMI3237_27974	ADMI3238_23715	ADMI3311_27976	ADMI3313_27977	ADMI3327_27978	ADMI3335_27979	ADMI3336_21324	ADMI3405_10147	ADMI3405_10148	ADMI3405_18615	ADMI3406_27980	ADMI3431_17432	ADMI3502_10149	ADMI3502_10407	ADMI3502_12463	ADMI3502_28691	ADMI3503_23196	ADMI3505_28585	ADMI3601_27982	ADMI3602_28615	ADMI3604_10898	ADMI3606_17433	ADMI3611_23065	ADMI3615_11291	ADMI3701_10150	ADMI3701_11132	ADMI3701_12120	ADMI3705_27984	ADMI3990_13702	ADMI3991_10900
1707241129	0	50	43	43	44	37	38	50	34	34	34	35	31	30	14	20	5	35	25	29	29	29	30	20	20	20	20	20	20	20	0	43	42	44	43	45	73	72	76	77	43	41	43	45	45	50	50	48	32	40	40	20	0	24	23	39	36	39	40	38	18	47	50	50	44	45	41	45	45	44	0	35	34	35	35	35	45	45	45	43	37	43	45	44	45	63	65	34	25	29	30	30	29	29	35	35	35	35	47	38	40	40	100	19	20	18	29	44	34	39	29	34	0	34	35	35	32	42	45	45	26	25	44	44	45	0	0	35	40	11	18	37	23	49	37	39	45	0	200	100
1707241147	0	50	43	44	44	37	38	50	34	34	34	35	31	30	14	20	4	35	25	29	29	29	30	20	20	20	20	20	19	20	0	43	42	44	43	45	73	72	76	77	43	40	43	45	45	50	50	48	32	40	39	19	0	24	23	39	36	39	40	38	18	47	50	50	44	45	40	45	45	44	0	35	34	35	35	35	45	45	45	43	37	43	45	44	45	63	65	34	25	29	30	29	29	29	35	35	35	35	47	38	40	40	100	19	20	18	29	44	34	39	29	34	0	34	35	34	32	42	45	45	26	25	44	44	45	0	0	35	40	11	18	37	23	49	37	39	45	0	200	100
1707241221	1	50	43	44	45	37	37	50	34	34	34	35	31	31	14	20	4	35	23	29	29	29	30	20	20	20	20	20	19	20	0	43	42	44	43	45	72	72	76	77	43	40	43	45	45	50	50	48	32	40	39	19	0	24	23	39	35	39	40	38	16	47	50	50	43	45	40	45	45	44	0	35	34	35	35	35	45	45	45	43	36	43	45	44	45	63	65	34	25	29	30	29	29	29	35	35	35	35	47	38	40	40	100	19	20	18	29	44	34	39	29	34	0	34	35	34	32	42	45	44	26	25	43	44	45	0	0	35	40	11	18	37	23	48	36	39	45	0	200	100
1707241307	0	50	43	44	45	37	37	50	34	34	34	35	31	31	14	20	4	35	23	29	29	29	30	20	20	20	20	20	19	20	0	43	42	44	43	45	72	72	76	77	44	40	42	45	45	49	50	48	32	40	38	19	0	25	23	39	35	39	40	38	16	47	50	50	43	45	40	45	45	44	0	35	34	35	35	35	45	45	45	43	36	43	45	44	45	63	65	34	25	29	30	29	29	29	35	35	35	35	47	38	40	40	100	19	20	18	29	44	34	39	29	34	0	34	35	34	32	42	44	44	26	25	42	44	45	0	0	35	40	11	18	36	23	48	36	38	45	0	200	100
1707241415	0	50	43	44	45	37	37	50	34	34	34	35	31	31	14	20	4	34	23	29	29	29	30	20	20	20	20	20	19	20	0	43	42	44	43	45	72	72	76	77	44	40	42	45	45	49	50	48	32	40	38	18	0	25	22	39	35	39	40	38	16	47	50	50	43	45	40	45	45	44	0	35	34	35	35	35	45	45	45	43	36	43	45	44	45	63	65	34	25	29	30	29	29	29	35	35	35	35	47	37	40	40	100	19	20	18	29	44	34	39	29	34	0	34	35	34	32	42	44	44	26	25	42	44	45	0	0	35	40	11	18	36	23	48	36	38	45	0	200	100
1707241512	0	50	43	43	45	35	37	48	34	34	34	34	31	31	12	20	4	34	22	28	28	28	30	20	20	19	19	19	19	20	0	43	42	44	42	44	69	71	76	77	44	37	42	43	42	48	48	46	31	39	36	16	0	25	20	39	33	37	40	36	16	45	50	48	41	45	38	44	44	44	0	34	33	35	34	35	45	44	41	43	35	43	45	44	44	63	64	31	24	29	30	25	28	29	35	35	34	35	46	37	40	39	99	19	20	17	28	44	34	39	29	34	0	34	35	34	32	41	43	44	26	24	38	42	44	0	0	35	40	11	18	34	23	46	35	37	44	0	200	100
1707241556	0	49	43	43	45	35	37	48	34	34	34	34	30	32	12	19	4	34	22	28	28	28	30	20	19	19	18	19	18	20	0	43	42	44	42	44	67	72	76	77	44	35	41	43	40	45	48	44	27	39	36	17	0	24	20	38	32	37	40	36	16	44	49	45	38	45	36	44	44	44	0	34	33	33	32	34	45	44	41	43	34	43	44	44	43	61	62	31	24	28	30	24	28	29	35	33	33	31	46	36	39	39	93	19	19	16	28	44	33	39	29	34	0	34	35	34	32	41	43	44	26	24	35	41	39	0	0	35	40	10	17	34	21	46	34	35	44	0	200	100
1707241623	0	49	43	43	45	34	37	48	34	33	34	34	30	31	12	18	3	34	22	28	28	28	30	18	19	19	16	19	17	20	0	43	42	43	41	41	65	72	76	77	44	34	39	42	38	45	48	43	27	36	36	16	0	23	20	38	32	37	40	36	15	44	47	43	35	45	33	42	43	42	0	31	32	32	31	32	45	44	41	41	32	43	43	42	42	59	57	29	24	27	30	21	28	29	35	31	32	26	46	36	39	39	88	18	19	15	28	43	31	38	29	34	0	34	35	34	32	39	43	43	26	24	35	37	39	0	0	35	39	10	16	33	21	46	33	32	43	0	200	98
1707241717	0	49	43	43	44	33	37	48	33	31	34	34	29	31	11	18	3	34	22	27	28	28	30	17	18	19	16	18	17	20	0	43	42	43	41	40	65	72	76	76	43	33	36	41	36	45	48	43	27	36	35	16	0	23	20	38	31	37	40	36	16	44	46	40	35	45	32	41	42	42	0	30	31	32	30	31	45	44	41	41	31	43	43	42	41	56	52	28	24	27	29	20	28	29	34	30	30	25	45	36	38	39	82	17	18	15	27	42	29	38	29	34	0	34	35	34	30	39	43	43	25	23	32	36	35	0	0	35	37	10	16	31	21	45	32	30	42	0	197	96
1707241814	0	49	43	43	44	33	37	48	33	31	34	34	29	31	11	18	3	34	22	26	28	28	30	17	17	19	16	18	17	20	0	43	42	43	41	40	64	72	76	76	43	33	36	41	36	45	48	43	27	36	35	16	0	23	20	38	31	37	40	36	16	44	46	40	35	45	32	40	42	42	0	30	31	32	30	31	45	44	41	41	31	43	43	42	41	56	52	28	24	27	28	20	28	29	34	30	29	25	45	36	38	39	81	17	18	15	27	42	29	39	29	34	0	34	35	34	29	39	42	43	25	23	32	36	35	0	0	35	37	10	17	31	21	45	32	30	42	0	197	95
1707241848	0	49	43	43	44	33	37	48	33	31	34	34	29	32	10	18	3	34	22	26	28	28	30	17	17	19	16	18	17	20	0	43	42	43	41	40	64	72	76	76	43	33	35	40	36	45	48	43	27	36	35	16	0	22	20	38	31	37	40	36	14	43	46	40	34	45	32	40	42	42	0	30	31	32	30	31	45	44	41	41	31	43	43	42	41	56	52	28	24	27	27	20	28	28	34	30	29	25	45	36	38	39	81	17	18	15	27	42	29	39	29	34	0	34	35	34	29	39	42	43	25	23	32	36	35	0	0	35	37	10	17	31	21	45	32	29	41	0	197	95
