date	DERE1101_10250	DERE1101_10251	DERE1101_10252	DERE1101_10253	DERE1101_16967	DERE1102_10030	DERE1102_10031	DERE1102_10562	DERE1102_10987	DERE1102_11364	DERE1102_16969	DERE1103_10032	DERE1103_10033	DERE1103_15127	DERE1103_25155	DERE1107B_11302	DERE1121B_14241	DERE1124B_14078	DERE1201_10257	DERE1201_10258	DERE1201_10259	DERE1201_13176	DERE1202_10809	DERE1202_10841	DERE1202_23628	DERE1300_10060	DERE1300_10061	DERE1300_10062	DERE1300_10063	DERE1300_10064	DERE1300_10065	DERE1300_10066	DERE1300_10067	DERE1300_10068	DERE1300_10069	DERE1300_10982	DERE1300_10983	DERE1300_11250	DERE1300_11394	DERE1300_11662	DERE1300_16966	DERE1301_12089	DERE1301_12090	DERE1301_20375	DERE1901_10035	DERE2101_10041	DERE2101_10042	DERE2101_14030	DERE2102_10045	DERE2102_11091	DERE2102_18465	DERE2103_11554	DERE2103_11555	DERE2201_10260	DERE2201_10261	DERE2201_10988	DERE2201_11365	DERE2201_14040	DERE2202_11082	DERE2202_11092	DERE2202_11093	DERE2202_11366	DERE2202_13286	DERE2203_10057	DERE2203_10058	DERE2203_27511	DERE2204_10087	DERE2204_10088	DERE2204_12485	DERE2205_10697	DERE2205_10698	DERE2205_12486	DERE2206_10089	DERE2206_10090	DERE2206_11501	DERE2206_20376	DERE2207_10085	DERE2207_10086	DERE2207_10981	DERE2207_12202	DERE2207_12803	DERE2208_10050	DERE2208_10844	DERE2208_28749	DERE2211_10359	DERE2211_10376	DERE2211_12097	DERE2211_12487	DERE2301_10039	DERE2301_10040	DERE2301_11213	DERE2301_15129	DERE2302_10038	DERE2302_10986	DERE2302_11545	DERE2302_20385	DERE2303_10046	DERE2303_10047	DERE2303_12077	DERE2304_10043	DERE2304_10044	DERE2304_11038	DERE2304_26189	DERE2401_10055	DERE2401_10056	DERE2401_12573	DERE2402_10084	DERE2402_10386	DERE2402_13206	DERE2403_10263	DERE2403_10264	DERE2403_25161	DERE2501_10059	DERE2501_12575	DERE2501_13691	DERE2502_11301	DERE2502_12079	DERE2502_27554	DERE2601_10080	DERE2601_10081	DERE2601_12076	DERE2602_10083	DERE2602_18480	DERE3101_10048	DERE3101_10845	DERE3101_13210	DERE3101_14933	DERE3151_25229	DERE3170_27669	DERE3192_27561	DERE3201_10025	DERE3201_11556	DERE3201_13211	DERE3202_10093	DERE3202_13568	DERE3202_14128	DERE3203_13247	DERE3204_10094	DERE3204_10209	DERE3204_13212	DERE3207_10810	DERE3208_26506	DERE3209_26507	DERE3211_10552	DERE3233_26510	DERE3236_23991	DERE3273_24001	DERE3301_15092	DERE3302_10051	DERE3302_10565	DERE3302_13573	DERE3303_10052	DERE3303_11557	DERE3303_13213	DERE3309_10053	DERE3324_24009	DERE3395_25117	DERE3396_28603	DERE3409_21516	DERE3424_26530	DERE3429_26531	DERE3432_22865	DERE3437_27666	DERE3577_28059	DERE3601_10461	DERE3601_13214	DERE3601_14036	DERE3605_26538	DERE3606_26539	DERE3611_26540	DERE3614_26542	DERE3625_12155	DERE3643_27660	DERE3801_10909	DERE3802_10910	DERE3803_10911	DERE3804_10912	DERE3805_18517	DERE3813_18526	DERE3834_24033	DERE3834_28565	DERE3837_20400	DERE3838_28604	DERE3903_10034	DERE3904_13634	DERE3904_14101	DERE3904_17062	DERE3905_10597	DERE3909_11066	DERE3990_10206
1707241129	26	3	17	19	0	0	18	5	11	7	0	35	33	34	33	40	28	17	24	25	25	29	69	69	76	0	67	46	79	56	81	66	72	96	94	30	72	87	0	50	48	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	24	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	19	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241147	26	3	16	19	0	0	18	5	11	7	0	35	33	34	33	40	28	17	24	25	25	29	69	69	76	0	67	45	79	55	80	67	74	96	94	28	71	87	0	50	48	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	24	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	19	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241221	26	3	16	19	0	0	18	5	11	7	0	35	33	34	33	40	28	16	24	25	25	29	69	69	76	0	66	45	78	55	81	67	74	96	94	27	70	87	0	49	48	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	24	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	19	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241307	26	3	16	19	0	0	18	5	11	7	0	35	33	34	33	40	28	16	24	25	25	29	69	69	76	0	64	44	78	56	80	66	74	96	95	27	70	87	0	50	48	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	30	40	40	40	35	35	35	35	35	35	35	35	24	25	40	30	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	25	19	20	20	35	35	35	10	10	20	10	20	30	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241415	26	3	16	19	0	0	18	5	11	7	0	35	33	34	33	40	28	15	24	25	25	29	68	69	76	0	66	42	78	56	80	66	74	96	95	25	70	87	0	49	47	38	6	7	170	40	40	40	40	40	40	40	40	27	27	26	27	27	27	27	27	27	27	40	40	40	40	35	35	35	35	35	30	30	30	30	20	20	20	20	20	40	35	0	35	31	35	35	40	40	40	38	30	30	29	30	35	35	35	35	35	34	35	40	40	40	35	35	35	35	35	35	40	40	40	40	40	40	39	40	40	40	40	29	29	30	30	20	20	29	40	40	40	35	35	35	35	35	35	35	35	24	25	40	29	25	30	30	35	35	35	35	35	35	75	25	20	0	20	24	24	19	20	19	35	35	35	10	10	20	10	20	29	140	140	15	0	20	35	60	60	25	0	0	20	20	20	160	120	120
1707241512	26	3	16	19	0	0	18	5	11	7	0	35	33	34	32	36	28	13	24	25	25	29	67	68	76	0	64	39	77	56	79	64	74	96	95	23	69	87	0	47	46	38	6	7	169	40	40	40	39	39	39	39	39	27	27	26	27	27	27	25	26	26	27	39	38	40	39	35	34	35	35	35	30	30	29	29	20	20	20	20	20	40	33	0	33	31	35	35	40	40	40	37	30	30	29	30	34	35	32	32	35	33	34	40	40	38	33	35	34	35	35	34	39	39	40	40	40	40	37	38	40	40	39	29	29	30	30	20	20	28	37	40	40	33	33	35	35	35	34	34	35	23	24	39	29	25	30	29	35	35	33	35	33	35	74	23	20	0	20	23	24	19	20	18	34	34	35	10	10	20	10	20	29	140	140	15	0	20	35	60	60	25	0	0	20	20	20	158	118	119
1707241556	26	3	16	19	0	0	18	5	11	7	0	35	33	34	32	36	27	11	24	25	25	29	66	68	76	0	63	39	77	56	77	64	74	95	95	24	67	87	0	46	45	38	6	7	169	39	40	40	38	39	39	37	37	27	27	26	27	27	27	25	26	26	27	39	38	40	39	35	31	34	34	35	30	30	29	29	20	20	19	20	20	34	29	0	33	31	35	35	40	40	40	37	30	30	29	30	33	35	32	32	35	33	34	40	40	38	33	29	34	35	33	30	39	39	40	39	39	40	37	38	40	37	39	29	29	30	30	17	20	28	36	40	38	30	33	35	34	35	33	32	35	23	22	37	29	24	30	29	34	35	30	35	29	35	72	23	19	0	20	22	22	18	20	17	34	31	33	10	10	20	10	20	28	140	140	14	0	19	35	60	60	25	0	0	19	19	19	153	115	114
1707241623	26	3	16	19	0	0	18	5	11	7	0	35	33	34	32	36	27	11	24	25	25	29	63	66	75	1	63	37	77	56	77	64	73	95	95	24	68	87	0	47	46	38	6	7	169	39	40	40	37	39	39	36	36	27	27	26	27	27	27	25	26	26	27	39	36	39	38	35	27	31	32	35	30	30	29	29	20	20	18	20	20	30	27	0	33	31	35	34	40	40	40	37	30	30	28	30	32	35	31	31	35	33	34	40	40	37	33	26	31	35	31	28	37	38	38	38	38	38	37	38	40	37	38	29	29	30	30	17	20	28	35	39	35	28	32	35	33	34	33	27	34	23	21	34	26	24	30	29	34	35	28	33	27	35	71	23	19	0	18	22	22	18	19	16	34	30	33	10	10	20	10	20	27	140	140	12	0	15	35	60	60	25	0	0	19	18	18	149	109	113
1707241717	26	3	16	19	0	0	18	4	10	7	0	35	33	34	32	36	27	8	24	24	25	29	63	64	73	0	63	35	78	55	77	65	73	95	95	25	68	87	0	47	45	38	6	7	169	39	40	40	37	39	39	36	34	27	27	26	27	27	27	25	26	26	27	38	35	39	38	35	24	30	29	35	30	30	29	29	20	20	13	20	20	30	26	0	33	30	35	34	40	39	40	37	30	30	28	30	31	34	31	30	35	33	34	39	40	37	33	25	30	34	30	27	37	38	38	38	37	37	37	37	40	35	38	29	28	30	30	14	18	26	32	39	33	28	31	34	31	33	33	27	29	15	16	31	25	24	28	28	32	35	28	33	27	35	70	23	18	0	18	21	21	17	17	15	32	29	32	10	10	20	10	19	24	140	140	7	0	5	35	60	60	25	0	0	16	17	15	138	90	110
1707241814	26	3	16	19	0	0	18	4	10	7	0	35	33	34	32	36	27	8	24	24	25	29	63	64	73	1	63	35	77	55	77	65	72	96	95	25	67	87	0	46	43	38	6	7	169	39	40	40	37	39	39	36	34	27	27	26	27	27	27	25	26	26	27	38	35	39	38	35	24	30	29	35	30	30	29	29	20	20	13	20	20	30	26	0	33	30	35	34	40	39	40	37	30	30	28	30	31	34	31	30	35	33	34	39	40	37	33	25	30	34	30	27	37	38	38	38	37	37	37	37	40	35	38	29	28	30	30	14	18	26	32	39	33	28	31	34	31	33	33	27	29	15	16	31	25	24	28	28	32	35	28	33	27	35	70	23	18	0	18	21	21	17	17	15	32	29	32	10	10	20	10	19	23	140	140	7	0	5	35	60	60	25	0	0	15	17	15	134	89	110
