date	HIST1101_12078	HIST1102_10079	HIST1417B_11546	HIST1605A_10600	HIST1706B_16151	HIST2101_28103	HIST2104_27497	HIST2202B_27829	HIST2204A_13418	HIST2204A_18530	HIST2205A_10632	HIST2300B_11222	HIST2303B_28020	HIST2305B_27754	HIST2333B_27771	HIST2406B_27743	HIST2412B_21787	HIST2420A_25632	HIST2420A_28736	HIST2422A_13109	HIST2500B_28351	HIST3101_10102	HIST3103_10974	HIST3104_12092	HIST3106_13419	HIST3400_28612	HIST3409_25629	HIST3513_28611	HIST3600_13157	HIST3990_15628	HIST3991_13420	HIST3992_13421	HIST3993_11314	HIST3996_28653	HIST3997_28654	HIST4705_12516	HIST4707_12519	HIST4709_11673	HIST4710_14125	HIST4800_25564	HIST4801_12524	HIST4802_11623	HIST4990_13797	HIST6007_21797	HIST6008_12048	HIST6970_12533	HIST6980_12534	HIST6981_12544	HIST6982_12545	HIST6983_12549	HIST6984_12550	HIST6985_12551	HIST6990_23570	HIST6997_21799
1707242210	19	24	53	103	76	23	21	24	51	45	50	26	15	44	76	27	75	33	0	40	33	11	5	8	10	12	18	10	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	9	14	13	13	14	14	14	5	0
1707242307	19	24	53	103	76	23	21	24	51	45	50	26	15	44	76	27	75	33	0	40	33	11	5	8	10	12	18	10	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	9	14	13	13	14	14	14	5	0
1707242329	19	24	53	103	76	23	21	24	51	45	50	25	15	44	76	27	75	33	0	40	33	11	5	8	10	12	18	10	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	9	14	13	13	14	14	14	5	0
1707242343	19	24	53	103	76	23	21	24	51	45	50	25	15	44	76	27	75	33	0	40	33	11	5	8	10	12	18	10	10	10	10	9	7	0	0	19	20	61	15	15	23	19	15	2	8	9	14	13	13	14	14	14	5	0
1707250748	19	24	53	103	76	23	21	24	51	45	50	25	15	44	76	27	75	33	0	40	33	11	5	8	10	12	18	10	10	10	10	9	7	0	0	19	20	61	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251027	19	24	51	141	75	20	16	19	65	62	81	24	12	43	76	24	75	48	0	62	29	11	1	8	10	5	13	5	10	10	10	9	7	0	0	19	20	61	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251309	19	23	46	110	74	19	14	15	53	57	78	24	10	43	76	24	74	47	0	56	28	11	-1	8	10	1	9	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251351	19	23	46	111	74	19	14	15	53	57	78	24	10	43	76	24	74	47	0	55	28	11	-1	8	10	0	9	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251441	17	22	45	93	74	19	12	11	38	51	76	23	8	42	75	22	74	39	0	55	26	11	-1	8	10	0	6	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251521	16	22	41	84	74	18	8	8	27	47	75	23	5	41	74	19	72	34	0	54	24	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251605	15	22	41	70	73	16	7	7	21	45	74	23	2	41	74	18	72	31	0	52	24	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251658	15	21	38	51	72	16	6	5	0	38	71	20	2	40	73	16	67	22	0	46	20	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251727	15	21	39	50	72	16	6	5	0	38	71	20	2	40	73	16	66	22	0	46	20	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	14	14	5	0
1707251900	15	21	39	49	72	16	6	4	0	35	71	20	2	40	73	16	66	22	0	47	19	11	-1	8	10	0	3	0	10	10	10	9	7	0	0	19	20	62	15	15	23	19	15	2	8	8	14	13	13	14	13	14	5	0
