date	MIAD4104_27139	MIAD4105_27140	MIAD4106_27141	MIAD4107_27142	MIAD4108_27143	MIAD4109_27144	MIAD4201_27145	MIAD4203_27146	MIAD4300_27147	MIAD4402_27464	MIAD4970_20332	MIAD4971_28552	MIAD4979_28553	MIAD4988_27149	MIAD4990_25102
1707271720	13	10	9	9	9	13	11	11	12	3	3	4	0	0	0
1707271802	13	10	9	9	9	13	11	11	12	3	3	4	0	0	0
1707272002	13	10	9	9	9	13	11	11	12	3	3	4	0	0	0
1707272150	13	10	9	9	9	13	11	11	12	3	3	4	0	0	0
1707272237	13	10	9	9	9	13	11	11	12	3	3	4	0	0	0
1707281100	13	10	9	9	9	13	11	11	12	3	3	4	0	0	0
1707281233	13	10	9	9	9	13	11	11	12	3	3	4	0	0	0
1707281457	13	10	9	9	9	13	11	12	12	3	3	4	0	0	0
1707281621	13	10	9	9	9	13	11	12	12	3	3	4	0	0	0
1707281911	13	10	9	9	9	13	11	12	12	3	3	4	0	0	0
