date	ANTR1001_26230	ANTR1101_10265	ANTR1104_11519	ANTR1104_11544	ANTR1105A_20115	ANTR1106B_17435	ANTR1118A_26231	ANTR1128A_26232	ANTR1130B_26233	ANTR1134B_21330	ANTR1135A_21331	ANTR1201_10266	ANTR1202B_26234	ANTR1203A_13368	ANTR1401_20854	ANTR2102_11520	ANTR2104_26235	ANTR2105_26236	ANTR2119_27372	ANTR2120_27371	ANTR2202_26237	ANTR2301_26238	ANTR3006_21135	ANTR3011_28362	ANTR3014_25997	ANTR3015_27957	ANTR3101_26245	ANTR3172_26246	ANTR3173_26247	ANTR3177_14177	ANTR3178_14178	ANTR3179_14179	ANTR3180_17445	ANTR3183_28734	ANTR3184_28726	ANTR3185_10673	ANTR3188_28735	ANTR3190_17446	ANTR3191_11522	ANTR3193_11523	ANTR3194_10103	ANTR3195_10104	ANTR3198_28652	ANTR3600_20122	ANTR3990_19146	ANTR3992_11467	ANTR3993_11524	ANTR4108_28548	ANTR4109_28547	ANTR4137_11163	ANTR4138_17449	ANTR4224_10675	ANTR4225_10268	ANTR4500_25566	ANTR4974_28647	ANTR4975_28648	ANTR4976_28649	ANTR4977_28650	ANTR4990_14000	ANTR6061_28545	ANTR6062_17452	ANTR6063_14019	ANTR6064_14005	ANTR6065_13586	ANTR6066_13587	ANTR6961_13588	ANTR6962_25569	ANTR6963_25570	ANTR6970_13591	ANTR6971_19151	ANTR6980_13592	ANTR6981_13593	ANTR6982_13594	ANTR6983_15180	ANTR6990_14939	ANTR6991_25353
1707241512	15	45	34	34	43	80	27	15	35	52	37	52	50	32	50	39	54	54	30	25	54	33	15	0	15	15	54	25	25	0	0	0	0	0	0	20	0	5	25	20	15	5	0	5	25	5	30	5	5	9	13	10	8	5	0	0	0	0	14	0	5	5	5	5	5	5	5	5	5	5	5	5	10	14	10	25
1707241556	15	45	34	34	43	78	27	14	35	52	37	52	49	32	50	38	52	52	29	24	54	33	15	0	15	15	53	25	24	0	0	0	0	0	0	20	0	5	25	20	13	5	0	5	25	5	27	5	5	9	12	10	8	5	0	0	0	0	14	0	5	4	4	5	5	5	5	5	5	5	5	5	10	14	9	25
1707241623	15	43	34	34	43	79	27	13	34	52	37	51	48	31	50	38	51	52	29	25	53	32	15	0	15	15	52	24	24	0	0	0	0	0	0	20	0	5	24	19	11	5	0	5	25	5	27	5	5	9	12	10	8	5	0	0	0	0	14	0	5	4	4	5	5	5	5	5	5	5	5	5	10	14	9	25
1707241717	15	43	33	34	42	79	27	12	33	52	36	50	47	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	25	5	4	9	12	10	8	5	0	0	0	0	14	0	5	4	4	5	5	5	5	5	5	5	4	4	10	14	9	25
1707241814	15	42	33	34	42	79	27	12	33	52	35	50	47	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	25	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707241848	15	42	33	34	42	79	27	12	33	52	35	50	47	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	25	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707242034	14	41	33	34	42	78	27	12	32	52	35	49	47	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	24	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707242132	14	41	33	34	42	78	27	12	33	52	34	50	46	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	24	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707242210	14	41	33	34	42	78	27	12	33	52	34	50	46	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	24	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
1707242307	14	41	33	34	42	78	27	12	33	52	34	50	46	30	49	38	49	50	29	24	52	31	15	0	15	15	51	24	23	0	0	0	0	0	0	20	0	5	24	19	8	5	0	5	25	5	24	5	4	9	12	9	8	5	0	0	0	0	14	0	4	4	4	5	5	5	5	5	5	4	4	4	10	14	9	25
