date	ARTE1000_21366	ARTE1001_21367	ARTE1002_21368	ARTE1103_13371	ARTE1104_13372	ARTE1104_13532	ARTE1104_13533	ARTE1105_15078	ARTE1105_18455	ARTE1105_18565	ARTE1105_20379	ARTE1105_22981	ARTE1105_25995	ARTE1105_26001	ARTE1115_13374	ARTE1116_13375	ARTE1116_13540	ARTE1116_13542	ARTE1116_23588	ARTE1117_13543	ARTE1117_13544	ARTE1117_23621	ARTE1117_28018	ARTE1118_14826	ARTE1119_13377	ARTE1120B_17190	ARTE1120B_28660	ARTE1126_26273	ARTE1129_26274	ARTE1209B_10122	ARTE1213_13378	ARTE1213_13546	ARTE1213_13547	ARTE1215_13379	ARTE1215_13620	ARTE1215_13960	ARTE1215_28332	ARTE1221_28349	ARTE1222_28348	ARTE1230_23778	ARTE1233_26277	ARTE1405B_23280	ARTE1406A_22526	ARTE1407_15107	ARTE1410A_21373	ARTE1500_23780	ARTE1501_23781	ARTE1503_28609	ARTE2100_13380	ARTE2101_13551	ARTE2106_13381	ARTE2107_14192	ARTE2108_13382	ARTE2108_13919	ARTE2109_13383	ARTE2110_13384	ARTE2111_13385	ARTE2112_13386	ARTE2113_13387	ARTE2115_26278	ARTE2116_13389	ARTE2118_26280	ARTE2119_13392	ARTE2125_26282	ARTE2126_21379	ARTE2129_19967	ARTE2131_26284	ARTE2203_13785	ARTE2205_13393	ARTE2206_13394	ARTE2207_19162	ARTE2210_19163	ARTE2417_26285	ARTE2423_26286	ARTE2443_26287	ARTE2446_26288	ARTE2446_28051	ARTE2461_25648	ARTE2464_28554	ARTE2465_26290	ARTE3100_13397	ARTE3108_28555	ARTE3113_28129	ARTE3114_13399	ARTE3115_13400	ARTE3121_26293	ARTE3203_26294	ARTE3205_13401	ARTE3213_26297	ARTE3216_26298	ARTE3218_28350	ARTE3220_26299	ARTE3401_26300	ARTE3403_23277	ARTE3427_26301	ARTE3428_26302	ARTE3602_16646	ARTE3602_16647	ARTE3602_16648	ARTE3602_16649	ARTE3602_16650	ARTE3602_16653	ARTE3602_16655	ARTE3602_16656	ARTE3602_16658	ARTE3602_16660	ARTE3602_16661	ARTE3602_25517	ARTE3603_12845	ARTE3603_12846	ARTE3603_12847	ARTE3603_12848	ARTE3603_12849	ARTE3603_12850	ARTE3603_12851	ARTE3603_12852	ARTE3603_12853	ARTE3603_13019	ARTE3603_13928	ARTE3603_23601	ARTE3990_12001	ARTE3992_12858	ARTE3994_13402	ARTE3995_12002	ARTE3996_28610
1707241848	69	70	80	12	15	14	11	14	16	17	17	14	16	15	13	10	0	11	7	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	30	42	30	16	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	14	13	12	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707242034	69	70	80	12	15	14	11	14	16	17	17	14	16	15	13	10	0	11	7	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	30	42	30	15	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	14	13	12	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707242132	69	70	80	12	15	14	11	14	16	17	17	14	16	15	13	10	0	11	7	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	30	42	30	15	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	14	13	12	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707242210	69	70	80	12	15	14	11	14	16	17	17	14	16	15	13	10	0	11	7	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	30	42	30	15	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	14	13	12	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707242307	69	70	80	12	15	14	11	14	16	17	17	14	16	15	13	11	0	11	6	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	29	42	30	15	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	13	13	13	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707242329	69	70	80	12	15	14	11	14	16	17	17	14	16	15	13	11	0	11	6	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	29	42	30	15	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	13	13	13	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707242343	69	70	80	12	15	14	11	14	16	17	17	14	16	15	13	11	0	11	6	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	29	42	30	15	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	13	13	13	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707250748	69	70	80	12	15	13	11	14	16	17	17	14	16	15	13	11	0	11	6	15	15	12	14	14	15	35	0	12	42	76	3	3	11	13	14	13	15	13	13	37	15	57	29	42	30	15	15	14	15	13	14	14	14	13	14	13	11	12	14	15	12	14	12	13	14	15	15	14	12	13	13	13	29	15	42	10	13	14	27	15	11	14	14	9	12	4	14	3	13	12	13	13	20	15	20	15	0	2	2	3	0	0	2	4	0	2	0	2	3	2	2	1	2	1	2	1	2	1	3	1	997	4	999	2	999
1707251027	69	70	80	9	14	12	10	14	13	17	16	14	15	15	12	11	0	11	6	15	15	11	14	9	15	35	0	12	40	70	1	3	9	12	14	12	15	12	13	36	15	55	40	42	43	14	15	11	14	11	12	13	14	13	13	13	10	12	13	15	12	11	11	12	13	14	15	13	10	13	12	13	27	14	41	10	10	12	27	14	11	13	11	9	11	4	12	2	12	11	11	9	20	15	20	15	0	2	2	3	0	0	2	3	0	2	0	2	2	2	0	0	2	1	2	1	2	1	3	0	997	4	997	2	999
1707251309	68	69	79	3	14	12	2	13	13	17	16	14	15	15	9	11	0	10	6	15	13	11	14	5	15	34	0	10	39	64	1	3	9	11	13	11	15	12	12	35	15	54	22	40	43	14	15	10	14	9	12	13	14	11	13	13	10	8	9	15	11	8	11	11	11	12	14	12	10	13	10	13	23	13	38	7	8	11	24	13	10	13	10	8	5	4	11	0	10	9	10	2	20	14	20	15	-1	2	2	2	0	-1	2	2	0	1	0	2	1	1	-1	0	1	0	1	1	1	-1	1	0	994	4	995	2	998
