date	CISO1200B_13562	CISO1200B_14039	CISO1200B_25005	CISO1500B_13158	CISO1500B_13159	CISO2000_19766	CISO2000_20390	CISO2000_21161	CISO2102_20836	CISO2103_26388	CISO2108_26389	CISO2109_23872	CISO2110_23873	CISO2200_26390	CISO2200_28304	CISO4006_25354	CISO4010_23881	CISO4014_25345	CISO4019_25346	CISO4025_23896	CISO4029_26391	CISO4030_26392	CISO4031_26393	CISO4032_26394	CISO4033_26395	CISO4034_26396	CISO4035_26397	CISO4036_26398	CISO4037_26399	CISO4038_26400	CISO4039_26401	CISO4040_26402	CISO4506_25131	CISO4605_26405	CISO4615_26406	CISO4616_26407	CISO4618_26409	CISO4619_26410	CISO4620_26411	CISO4621_26412	CISO4623_26414	CISO4624_26415	CISO4625_26416	CISO4626_26417	CISO4627_26418	CISO4628_26419	CISO4629_26420	CISO4631_26421	CISO4632_26422	CISO4633_26423	CISO4634_28564	CISO4635_28542	CISO4636_28633	CISO4890_28537	CISO6001_26424	CISO6990_26425
1707242132	35	43	36	26	31	60	51	67	60	58	80	59	31	32	111	27	22	18	20	18	9	7	5	11	6	24	10	8	8	14	19	16	2	10	12	15	17	17	16	16	2	8	25	21	1	0	0	1	1	16	26	2	0	0	6	27
1707242210	35	43	36	26	31	60	51	67	60	58	80	59	31	32	111	27	22	18	20	18	9	7	5	11	6	24	9	8	8	14	19	16	2	10	12	15	17	17	16	15	2	8	25	21	1	0	0	1	1	16	26	2	0	0	6	27
1707242307	35	43	36	26	31	60	51	67	60	58	80	59	31	32	111	27	22	18	20	18	8	7	5	11	6	24	9	8	8	14	18	16	2	10	12	15	17	17	16	15	2	8	25	21	1	0	0	1	1	16	25	2	0	0	6	27
1707242329	35	43	36	26	31	60	51	67	60	58	80	59	31	32	111	27	22	18	20	18	8	7	5	11	6	24	9	8	8	14	18	16	2	10	12	15	17	17	16	15	2	8	25	21	1	0	0	0	1	16	25	2	0	0	6	27
1707242343	35	43	36	26	31	60	51	67	60	58	80	59	31	32	111	27	22	18	20	18	8	7	5	11	6	24	9	8	8	14	18	16	2	10	12	15	17	17	16	15	2	8	25	21	1	0	0	0	1	16	25	2	0	0	6	27
1707250748	36	42	36	26	31	60	51	67	60	58	80	59	31	32	111	27	22	18	20	17	8	7	5	10	6	24	9	8	8	14	18	16	2	10	11	13	17	16	15	15	2	8	25	21	1	0	0	0	1	16	25	2	0	0	6	27
1707251027	34	42	35	24	23	59	50	66	60	54	79	59	30	31	106	26	22	17	19	16	6	7	4	9	6	23	9	8	8	13	18	16	2	9	10	12	16	16	15	15	0	8	25	21	0	0	0	-1	0	16	24	2	0	0	6	26
1707251309	34	39	33	20	19	58	49	66	60	51	79	59	30	31	105	25	22	17	19	15	6	7	4	9	6	23	7	8	8	13	18	15	0	9	10	11	16	16	15	15	0	6	25	21	0	0	0	-1	0	16	24	1	0	0	6	24
1707251351	34	39	33	20	19	58	49	66	60	51	79	59	30	31	105	25	22	17	19	15	6	7	4	9	6	23	7	8	8	13	18	15	0	9	10	11	16	16	15	15	0	6	25	21	0	0	0	-1	0	16	24	1	0	0	6	24
1707251441	34	39	33	19	16	58	49	66	60	48	78	58	30	28	104	25	22	18	20	15	6	7	4	9	6	23	7	8	8	12	17	15	0	9	10	11	16	16	15	15	0	4	25	21	0	0	0	-1	0	16	24	1	0	0	6	24
1707251521	34	39	33	17	15	57	48	66	60	47	77	58	30	27	102	25	22	18	20	15	6	7	4	9	6	23	7	8	8	12	17	15	0	9	10	11	16	16	15	15	0	4	25	21	0	0	0	-2	0	16	24	1	0	0	6	24
1707251605	34	36	33	15	10	55	46	66	60	45	78	57	30	27	100	25	22	18	20	15	6	6	4	9	6	23	6	8	8	12	17	15	0	9	10	11	16	16	15	15	0	4	25	21	0	0	0	-3	0	16	24	1	0	0	6	24
1707251658	33	35	32	12	1	52	44	67	60	41	75	56	30	25	98	25	22	18	20	15	6	6	4	9	6	23	5	8	8	12	17	15	0	9	10	11	16	16	15	15	1	4	25	21	0	0	0	-3	0	16	24	0	0	0	6	24
1707251727	33	35	32	13	1	52	44	67	60	41	75	56	30	25	97	25	22	18	20	15	6	6	4	9	6	23	5	8	8	12	17	15	0	9	10	11	16	16	15	15	1	4	25	21	0	0	0	-3	0	16	24	1	-1	0	6	24
