date	FILO1000B_26686	FILO1010_10019	FILO1100B_26687	FILO1130B_26688	FILO1281A_24207	FILO1292B_24208	FILO1391A_26690	FILO1392A_24211	FILO1398B_26692	FILO2100_26693	FILO2120B_26694	FILO2140_26695	FILO2529_26696	FILO2530_24221	FILO3010_10498	FILO3020_13249	FILO3213_24222	FILO3214_24223	FILO3217_26697	FILO3413_26699	FILO3414_28586	FILO3991_17729	FILO3992_13611	FILO3993_26700	FILO4800_11513	FILO4810_10432	FILO4811_10563	FILO4812_23666	FILO6960_24236	FILO6961_21707	FILO6970_21708	FILO6980_21709	FILO6981_21710	FILO6982_21711	FILO6983_21712	FILO6990_21713
1707251900	29	57	35	32	45	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	6	1	-2	-1	5	3	1	5	4	5	0	0
1707251927	29	57	35	32	45	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	6	1	-2	-1	5	3	1	5	4	5	0	0
1707252025	29	57	35	32	45	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	6	1	-2	-1	5	3	1	5	4	5	0	0
1707252100	29	57	35	32	45	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707252124	29	57	35	32	45	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707252143	29	57	35	32	45	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707252259	29	57	35	32	46	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707252332	30	57	35	32	46	46	50	22	67	30	43	33	32	114	10	6	4	4	14	10	24	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707260820	28	57	35	32	53	45	58	28	66	29	42	33	32	114	10	6	4	4	14	10	23	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707261009	25	54	31	22	47	39	48	19	63	25	34	31	30	113	10	6	4	4	14	8	22	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707261047	24	53	29	21	45	39	46	12	62	21	35	31	28	113	10	6	4	4	14	6	22	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707261116	20	51	28	18	43	38	45	9	60	20	33	31	27	113	10	6	4	4	14	7	21	0	0	0	5	1	-2	-1	5	3	1	5	4	5	0	0
1707261144	17	48	27	17	42	33	44	7	61	18	33	31	27	112	10	6	4	4	14	7	21	0	0	0	5	1	-3	-1	5	3	1	5	4	5	0	0
1707261213	17	48	27	17	41	34	43	7	61	18	33	31	27	111	10	6	4	4	14	7	21	0	0	0	5	1	-3	-1	5	3	1	5	4	5	0	0
1707261257	17	48	27	17	41	34	43	7	61	18	33	31	27	111	10	6	4	4	14	7	21	0	0	-1	5	1	-4	-1	5	3	0	5	4	5	0	0
